DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,1,0,0,0,0,0,0,0,0,0,0,62,312,0,247
1923,BN,1,0,0,0,0,0,0,0,0,0,0,56,343,0,222
1924,C,1,0,0,0,0,0,0,0,0,0,0,54,350,0,216
1925,D,1,0,0,0,0,0,0,0,0,0,0,49,379,0,193
1926,D,1,0,0,0,0,0,0,0,0,0,0,53,356,0,212
1927,W,1,0,0,0,0,0,0,0,0,0,0,52,364,0,205
1928,AN,1,0,0,0,0,0,0,0,0,0,0,56,341,0,224
1929,C,1,0,0,0,0,0,0,0,0,0,0,58,332,0,231
1930,D,1,0,0,0,0,0,0,0,0,0,0,72,261,0,287
1931,C,1,0,0,0,0,0,0,0,0,0,0,66,293,0,262
1932,D,1,0,0,0,0,0,0,0,0,0,0,65,298,0,258
1933,C,1,0,0,0,0,0,0,0,0,0,0,64,303,0,254
1934,C,1,0,0,0,0,0,0,0,0,0,0,63,307,0,251
1935,BN,1,0,0,0,0,0,0,0,0,0,0,62,313,0,246
1936,BN,1,0,0,0,0,0,0,0,0,0,0,61,316,0,243
1937,BN,1,0,0,0,0,0,0,0,0,0,0,60,320,0,240
1938,W,1,0,0,0,0,0,0,0,0,0,0,60,324,0,237
1939,D,1,0,0,0,0,0,0,0,0,0,0,60,320,0,240
1940,AN,1,0,0,0,0,0,0,0,0,0,0,61,317,0,243
1941,W,1,0,0,0,0,0,0,0,0,0,0,62,313,0,246
1942,W,1,0,0,0,0,0,0,0,0,0,0,62,310,0,248
1943,W,1,0,0,0,0,0,0,0,0,0,0,63,306,0,252
1944,D,1,0,0,0,0,0,0,0,0,0,0,64,303,0,254
1945,BN,1,0,0,0,0,0,0,0,0,0,0,68,281,0,271
1946,BN,1,0,0,0,0,0,0,0,0,0,0,71,266,0,283
1947,D,1,0,0,0,0,0,0,0,0,0,0,75,250,0,296
1948,BN,1,0,0,0,0,0,0,0,0,0,0,78,233,0,310
1949,D,1,0,0,0,0,0,0,0,0,0,0,78,232,0,311
1950,BN,1,0,0,0,0,0,0,0,0,0,0,79,229,0,313
1951,AN,1,0,0,0,0,0,0,0,0,0,0,79,227,0,315
1952,W,1,0,0,0,0,0,0,0,0,0,0,80,223,0,318
1953,W,1,0,0,0,0,0,0,0,0,0,0,81,220,0,320
1954,AN,1,0,0,0,0,0,0,0,0,0,0,81,218,0,322
1955,D,1,0,0,0,0,0,0,0,0,0,0,82,214,0,325
1956,W,1,0,0,0,0,0,0,0,0,0,0,82,213,0,326
1957,AN,1,0,0,0,0,0,0,0,0,0,0,82,212,0,327
1958,W,1,0,0,0,0,0,0,0,0,0,0,83,209,0,329
1959,BN,1,0,0,0,0,0,0,0,0,0,0,83,208,0,330
1960,D,1,0,0,0,0,0,0,0,0,0,0,83,206,0,331
1961,D,1,0,0,0,0,0,0,0,0,0,0,87,189,0,345
1962,BN,1,0,0,0,0,0,0,0,0,0,0,86,195,0,340
1963,W,1,0,0,0,0,0,0,0,0,0,0,85,200,0,336
1964,D,1,0,0,0,0,0,0,0,0,0,0,84,203,0,334
1965,W,1,0,0,0,0,0,0,0,0,0,0,83,207,0,330
1966,BN,1,0,0,0,0,0,0,0,0,0,0,82,211,0,328
1967,W,1,0,0,0,0,0,0,0,0,0,0,82,214,0,325
1968,BN,1,0,0,0,0,0,0,0,0,0,0,81,218,0,321
1969,W,2,0,0,0,0,0,0,0,0,0,0,80,221,0,319
1970,W,2,0,0,0,0,0,0,0,0,0,0,80,222,0,318
1971,W,2,0,0,0,0,0,0,0,0,0,0,80,224,0,317
1972,BN,2,0,0,0,0,0,0,0,0,0,0,78,231,0,311
