DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,2,20,105,289,40,238,0,444,0,61,0,55,274,0,217
1923,BN,2,24,104,293,43,223,0,395,0,64,0,54,330,0,213
1924,C,2,5,120,253,49,282,0,361,0,63,0,53,345,0,212
1925,D,2,24,100,244,38,257,0,355,0,50,0,53,412,0,209
1926,D,2,19,101,300,18,236,0,379,0,70,0,53,355,0,212
1927,W,2,13,101,296,33,231,0,364,0,68,0,53,373,0,211
1928,AN,2,29,103,312,34,219,0,391,0,62,0,54,325,0,214
1929,C,2,13,105,290,49,232,0,419,0,59,0,54,309,0,215
1930,D,2,35,104,331,55,222,0,457,0,57,0,56,203,0,223
1931,C,2,59,104,317,71,198,0,433,0,42,0,55,244,0,219
1932,D,2,59,106,301,72,209,0,431,0,40,0,55,252,0,218
1933,C,2,58,108,284,74,220,0,429,0,37,0,55,259,0,218
1934,C,2,58,111,267,75,230,0,427,0,35,0,55,267,0,217
1935,BN,2,58,113,251,77,241,0,425,0,32,0,55,275,0,217
1936,BN,2,58,116,234,79,252,0,423,0,29,0,54,281,0,216
1937,BN,2,57,118,218,81,263,0,422,0,26,0,54,288,0,216
1938,W,2,57,120,201,82,274,0,420,0,24,0,54,294,0,215
1939,D,2,62,120,196,81,283,0,420,0,24,0,54,288,0,216
1940,AN,2,68,119,190,79,291,0,419,0,23,0,54,282,0,216
1941,W,2,72,118,185,77,300,0,419,0,23,0,55,276,0,217
1942,W,2,78,116,179,76,309,0,419,0,23,0,55,271,0,217
1943,W,2,83,116,174,74,318,0,418,0,23,0,55,264,0,217
1944,D,2,88,114,168,72,327,0,418,0,23,0,55,260,0,218
1945,BN,2,94,114,163,71,336,0,418,22,22,0,55,228,0,220
1946,BN,2,99,112,158,69,345,0,417,34,22,0,56,209,0,222
1947,D,2,104,112,153,67,353,0,417,45,21,0,56,189,0,224
1948,BN,2,109,111,147,66,363,0,417,56,21,0,57,170,0,226
