DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,11,50,254,703,97,577,0,1078,0,149,0,16,80,0,63
1923,BN,11,59,253,711,105,542,0,958,0,155,0,26,157,0,102
1924,C,11,12,291,614,118,684,0,876,0,154,0,28,179,0,111
1925,D,11,59,243,592,93,624,0,863,0,122,0,37,288,0,146
1926,D,11,47,244,728,44,572,0,920,0,169,0,29,196,0,117
1927,W,11,31,246,718,80,561,0,883,0,164,0,32,224,0,127
1928,AN,11,71,251,757,82,533,0,948,0,150,0,25,151,0,99
1929,C,11,31,254,704,119,563,0,1017,0,142,0,22,127,0,88
1930,D,11,86,252,805,133,540,0,1109,0,138,0,0,1,0,2
1931,C,11,143,252,770,171,482,0,1051,0,103,0,10,44,0,40
1932,D,11,143,257,730,175,508,0,1046,0,97,0,12,53,0,46
1933,C,11,142,263,689,179,534,0,1043,0,90,0,13,62,0,52
1934,C,11,142,269,649,183,559,0,1038,0,84,0,15,71,0,58
1935,BN,11,140,274,608,187,585,0,1033,0,77,0,16,81,0,64
1936,BN,11,140,281,568,192,612,0,1028,0,70,0,17,89,0,69
1937,BN,11,139,287,529,196,638,0,1024,0,64,0,19,98,0,74
1938,W,11,139,293,488,200,665,0,1019,0,59,0,20,106,0,78
1939,D,11,151,291,475,196,686,0,1019,0,58,0,19,98,0,74
1940,AN,11,164,289,462,192,707,0,1018,0,57,0,17,90,0,69
1941,W,11,176,286,450,188,729,0,1017,0,57,0,16,83,0,65
1942,W,11,189,283,435,183,750,0,1016,0,56,0,15,77,0,61
1943,W,11,202,281,422,180,772,0,1015,0,56,0,14,68,0,56
1944,D,11,214,278,409,175,793,0,1014,0,55,0,13,63,0,52
1945,BN,11,228,276,395,172,815,1,1014,54,54,0,6,27,0,26
1946,BN,11,241,273,383,168,837,1,1013,82,53,0,2,7,0,8
1947,D,11,251,270,367,162,851,1,1005,108,52,0,0,0,0,0
1948,BN,11,260,263,350,157,862,1,991,133,51,0,0,0,0,0
1949,D,11,258,270,396,157,820,1,969,144,51,0,0,0,0,0
1950,BN,11,257,277,442,158,778,1,948,156,50,0,0,0,0,0
1951,AN,11,255,283,486,159,737,1,928,168,49,0,0,0,0,0
1952,W,11,253,291,531,160,694,2,907,180,49,0,0,0,0,0
1953,W,11,252,298,576,160,653,2,887,191,48,0,0,0,0,0
1954,AN,11,250,304,621,161,611,2,867,203,47,0,0,0,0,0
1955,D,11,250,312,664,161,570,2,845,214,46,1,0,0,0,0
1956,W,11,240,312,693,165,559,2,829,217,48,1,0,0,0,0
1957,AN,11,231,311,721,168,549,2,815,219,50,1,0,0,0,0
1958,W,11,223,309,749,171,538,2,801,221,53,1,0,0,0,0
1959,BN,11,213,308,778,174,527,1,787,223,55,0,0,0,0,0
1960,D,11,205,307,805,177,517,1,772,225,57,0,0,0,0,0
1961,D,11,193,304,825,179,528,1,751,226,59,0,0,0,0,0
1962,BN,12,194,304,845,174,546,1,718,223,61,0,0,0,0,0
1963,W,12,195,304,864,168,564,1,687,221,63,0,0,0,0,0
1964,D,12,195,304,883,162,582,1,655,219,64,1,0,0,0,0
1965,W,13,196,305,901,156,599,1,623,217,67,2,0,0,0,0
1966,BN,13,196,305,920,150,617,1,590,215,69,4,0,0,0,0
1967,W,13,197,305,938,143,636,1,557,212,71,5,0,0,0,0
1968,BN,14,196,306,957,137,655,1,525,210,73,5,0,0,0,0
1969,W,14,197,306,976,131,672,1,493,208,74,6,0,0,0,0
1970,W,15,197,306,993,125,691,1,460,206,76,9,0,0,0,0
1971,W,16,198,306,1012,118,709,1,426,203,78,13,0,0,0,0
1972,BN,16,199,307,1034,112,714,0,394,201,81,19,0,0,0,0
1973,AN,17,199,306,1052,105,730,0,360,198,83,27,0,0,0,0
1974,W,18,199,305,1072,99,745,0,325,196,85,35,0,0,0,0
1975,W,19,190,289,1147,121,717,0,282,192,86,35,0,0,0,0
1976,C,21,179,272,1220,144,689,0,236,188,86,36,1,2,0,3
1977,C,21,191,320,1129,90,773,0,210,222,85,36,0,0,0,0
1978,AN,22,171,260,1210,88,745,0,241,220,83,37,0,0,0,0
1979,BN,22,172,247,1238,91,737,0,231,215,84,40,0,0,0,0
1980,AN,23,188,258,1160,109,665,1,237,207,88,41,11,43,0,48
1981,D,24,180,257,1161,112,763,1,242,208,88,43,0,0,0,0
1982,W,24,171,247,1290,71,563,1,244,215,90,44,13,51,0,55
1983,W,25,164,255,1025,86,479,0,76,198,90,47,45,395,0,194
1984,W,26,156,277,1188,122,552,0,268,199,89,49,16,67,0,68
1985,D,26,150,293,1038,135,611,0,271,193,90,53,21,104,0,93
1986,W,26,149,303,846,115,640,0,272,189,90,56,33,214,0,143
1987,D,27,147,328,790,137,644,0,276,179,91,58,34,222,0,146
