DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,3,10,52,144,20,118,0,221,0,30,0,15,76,0,60
1923,BN,3,12,52,145,21,111,0,196,0,32,0,16,98,0,63
1924,C,3,2,59,125,24,140,0,179,0,32,0,16,104,0,64
1925,D,3,12,50,121,19,128,0,176,0,25,0,17,132,0,67
1926,D,3,10,50,149,9,117,0,188,0,35,0,16,108,0,65
1927,W,3,6,50,147,16,115,0,181,0,34,0,16,116,0,65
1928,AN,3,14,51,155,17,109,0,194,0,31,0,16,96,0,63
1929,C,3,6,52,144,24,115,0,208,0,29,0,16,90,0,62
1930,D,3,18,52,165,27,110,0,227,0,28,0,14,50,0,55
1931,C,3,29,52,158,35,98,0,215,0,21,0,15,65,0,58
1932,D,3,29,53,149,36,104,0,214,0,20,0,15,68,0,59
1933,C,3,29,54,141,37,109,0,213,0,18,0,15,71,0,59
1934,C,3,29,55,133,37,114,0,212,0,17,0,15,73,0,60
1935,BN,3,29,56,124,38,120,0,211,0,16,0,15,77,0,60
1936,BN,3,29,57,116,39,125,0,210,0,14,0,15,79,0,61
1937,BN,3,28,59,108,40,131,0,209,0,13,0,15,81,0,61
1938,W,3,28,60,100,41,136,0,208,0,12,0,15,84,0,61
1939,D,3,31,59,97,40,140,0,208,0,12,0,15,82,0,61
1940,AN,3,34,59,94,39,145,0,208,0,12,0,15,79,0,61
1941,W,3,36,58,92,38,149,0,208,0,12,0,15,77,0,60
1942,W,3,39,58,89,38,153,0,208,0,11,0,15,75,0,60
1943,W,3,41,57,86,37,158,0,208,0,11,0,15,73,0,60
1944,D,3,44,57,84,36,162,0,207,0,11,0,15,71,0,59
1945,BN,3,47,56,81,35,167,0,207,11,11,0,14,59,0,57
1946,BN,3,49,56,78,34,171,0,207,17,11,0,14,53,0,56
1947,D,3,52,56,76,33,175,0,207,22,11,0,14,46,0,54
1948,BN,3,54,55,73,33,180,0,207,28,11,0,13,40,0,53
1949,D,3,54,56,83,33,171,0,203,30,11,0,13,39,0,53
1950,BN,3,54,58,93,33,163,0,199,33,10,0,13,38,0,52
1951,AN,3,54,59,102,33,155,0,195,35,10,0,13,38,0,52
1952,W,3,53,61,112,34,146,0,191,38,10,0,13,36,0,52
1953,W,3,53,63,121,34,138,0,187,40,10,0,13,35,0,51
1954,AN,3,53,64,131,34,129,0,183,43,10,0,13,35,0,51
1955,D,3,53,66,141,34,121,0,179,45,10,0,13,33,0,51
1956,W,3,51,66,147,35,118,0,176,46,10,0,13,33,0,51
1957,AN,3,49,66,153,36,116,0,173,46,11,0,13,33,0,51
1958,W,3,47,66,159,36,114,0,170,47,11,0,13,32,0,50
1959,BN,3,45,65,165,37,112,0,167,47,12,0,13,32,0,50
1960,D,3,44,65,171,38,110,0,164,48,12,0,13,31,0,50
1961,D,3,41,65,177,38,114,0,162,49,13,0,12,26,0,48
1962,BN,3,41,65,181,37,117,0,154,48,13,0,12,28,0,49
1963,W,3,41,65,184,36,120,0,146,47,14,0,13,30,0,50
1964,D,3,41,65,188,34,124,0,139,47,14,0,13,31,0,50
1965,W,3,41,65,191,33,127,0,132,46,14,1,13,32,0,51
1966,BN,3,41,64,195,32,131,0,125,45,15,1,13,33,0,51
1967,W,3,41,64,198,30,134,0,118,45,15,1,13,34,0,52
1968,BN,3,41,64,201,29,138,0,110,44,15,1,13,36,0,52
1969,W,4,41,64,205,27,141,0,103,44,16,1,13,37,0,53
1970,W,4,41,64,208,26,145,0,96,43,16,2,13,37,0,54
1971,W,4,41,64,211,25,148,0,89,42,16,3,14,38,0,54
1972,BN,4,41,64,215,23,148,0,82,42,17,4,14,41,0,55
1973,AN,4,41,63,218,22,151,0,75,41,17,6,14,41,0,55
1974,W,4,41,63,222,20,154,0,67,41,18,7,14,38,0,58
1975,W,5,39,59,236,25,148,0,58,40,18,7,14,42,0,59
1976,C,5,37,56,250,29,141,0,48,38,18,7,14,45,0,61
1977,C,5,40,66,234,19,160,0,44,46,18,7,14,38,0,59
1978,AN,5,36,54,253,18,156,0,50,46,17,8,14,33,0,58
1979,BN,6,35,51,256,19,152,0,48,44,17,8,14,39,0,60
1980,AN,6,38,53,237,22,136,0,48,42,18,8,15,59,0,65
1981,D,6,37,53,238,23,156,0,50,43,18,9,14,41,0,62
1982,W,6,35,51,264,15,115,0,50,44,18,9,15,61,0,66
1983,W,6,34,52,210,18,98,0,15,40,18,10,18,155,0,76
1984,W,6,32,57,243,25,113,0,55,41,18,10,16,66,0,68
1985,D,7,31,60,212,28,125,0,55,40,18,11,16,78,0,69
1986,W,7,30,62,173,24,131,0,56,39,18,11,17,109,0,73
1987,D,7,30,67,162,28,132,0,56,37,19,12,17,111,0,73
