DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,789,1374,1030,955,142,0,701,1239,0,1155,0,270,5791,161,202
1923,BN,811,1374,1038,955,142,0,701,1239,0,1179,15,269,5724,161,201
1924,C,823,1374,1045,973,142,0,725,1251,0,1211,31,267,5607,161,200
1925,D,834,1374,1059,983,142,0,773,1263,0,1244,46,265,5468,161,198
1926,D,857,1374,1074,1001,142,0,773,1275,0,1284,62,263,5349,161,197
1927,W,868,1374,1081,1010,147,0,798,1287,0,1308,77,261,5245,161,195
1928,AN,879,1374,1095,1019,147,0,822,1298,0,1349,92,259,5122,161,194
1929,C,902,1374,1110,1037,147,0,846,1298,0,1381,108,256,4999,161,192
1930,D,902,1388,1138,1046,162,0,846,1263,0,1381,108,256,4968,161,192
1931,C,902,1396,1167,1055,181,0,846,1228,0,1381,108,255,4940,161,191
1932,D,902,1410,1196,1064,196,0,846,1169,0,1381,108,255,4932,161,191
1933,C,902,1425,1218,1074,216,0,846,1121,0,1381,108,255,4915,161,191
1934,C,902,1432,1254,1092,230,0,846,1074,0,1381,92,254,4902,161,191
1935,BN,902,1446,1283,1101,240,0,846,1027,0,1381,92,254,4887,161,190
1936,BN,902,1453,1304,1110,260,0,846,992,0,1381,92,254,4866,161,190
1937,BN,902,1468,1340,1119,279,0,846,933,0,1381,92,253,4846,161,190
1938,W,902,1475,1369,1128,294,0,846,885,0,1381,92,253,4834,161,190
1939,D,924,1605,1412,1128,284,0,846,874,49,1381,92,249,4619,161,186
1940,AN,947,1736,1456,1137,275,0,846,850,97,1381,92,244,4406,161,183
1941,W,969,1866,1506,1146,265,0,846,838,154,1381,92,239,4168,161,179
1942,W,992,1996,1556,1155,255,0,846,826,203,1381,92,233,3939,161,175
1943,W,1014,2133,1600,1164,245,0,846,803,243,1381,108,228,3714,161,171
1944,D,1037,2263,1650,1174,235,0,846,791,292,1381,108,222,3486,161,166
1945,BN,1059,2394,1701,1183,230,0,846,779,357,1381,108,214,3238,161,161
1946,BN,1082,2524,1744,1192,221,0,846,767,389,1381,108,208,3033,161,156
1947,D,1105,2654,1794,1201,211,0,846,744,446,1381,108,200,2811,161,150
1948,BN,1127,2784,1852,1210,201,0,846,732,503,1381,108,192,2571,161,144
1949,D,1285,2784,1895,1474,201,0,846,661,673,1373,92,170,2068,161,127
1950,BN,1443,2784,1938,1729,201,0,846,602,835,1365,92,144,1564,161,108
1951,AN,1443,2777,1931,1729,201,0,846,602,835,1365,92,144,1575,163,108
1952,W,1443,2770,1924,1729,201,0,846,602,835,1365,92,145,1588,164,109
1953,W,1443,2770,1917,1719,201,0,846,602,835,1365,92,146,1601,166,109
1954,AN,1443,2762,1909,1719,201,0,846,602,827,1365,92,147,1621,167,110
1955,D,1443,2755,1902,1710,201,0,846,602,827,1365,92,176,1570,161,160
1956,W,1443,2755,1845,1710,221,0,798,673,851,1373,92,175,1553,163,159
