area_id,node,factor
51,40,0.0722
51,41,0.20620000000000002
51,42,0.0722
51,224,0.134
51,226,0.3814
52,35,0.165
52,38,0.099
52,100,0.165
52,130,0.1886
52,133,0.15560000000000002
52,224,0.2268
53,86,0.0418
53,89,0.1255
53,92,0.16149999999999998
53,93,0.1674
53,121,0.0837
53,122,0.0418
53,124,0.2108
53,125,0.1255
53,213,0.0418
54,32,0.2606
54,243,0.1862
54,245,0.1489
54,247,0.1862
54,250,0.2181
55,26,0.12960000000000002
55,29,0.06480000000000001
55,30,0.1852
55,32,0.2963
55,141,0.3241
56,264,0.1542
56,266,0.17010000000000003
56,276,0.09519999999999999
56,278,0.5805
57,86,0.0543
57,89,0.23920000000000002
57,92,0.2065
57,93,0.1086
57,200,0.1739
57,203,0.21739999999999998
58,24,0.0198
58,25,0.1186
58,26,0.0198
58,29,0.1441
58,30,0.0395
58,32,0.0791
58,241,0.2571
58,242,0.1864
58,243,0.1356
59,142,0.1191
59,143,0.07730000000000001
59,144,0.125
59,145,0.0834
59,146,0.14300000000000002
59,147,0.041600000000000005
59,148,0.4107
60,113,0.2775
60,114,0.3397
60,115,0.0622
60,116,0.0335
60,117,0.0335
60,118,0.2536
61,75,0.0233
61,77,0.0591
61,78,0.0233
61,79,0.0466
61,80,0.05740000000000001
61,81,0.08070000000000001
61,82,0.028700000000000003
61,113,0.0375
61,114,0.0215
61,115,0.0125
61,116,0.1039
61,117,0.0861
61,188,0.0375
61,189,0.0466
61,190,0.0466
61,191,0.10400000000000001
61,192,0.0753
61,194,0.052000000000000005
61,195,0.05740000000000001
62,32,0.2754
62,35,0.3478
62,133,0.3768
63,242,0.44
63,246,0.56
64,242,0.3284
64,243,0.1373
64,246,0.2647
64,247,0.2696
65,151,0.1728
65,153,0.1605
65,156,0.0864
65,158,0.0864
65,159,0.1729
65,163,0.1605
65,167,0.1605
66,151,0.13
66,152,0.13
66,155,0.6
66,158,0.07
66,159,0.07
67,42,0.2727
67,43,0.48490000000000005
67,226,0.24239999999999998
68,316,0.33340000000000003
68,320,0.3333
68,321,0.3333
69,7,0.2545
69,8,0.1576
69,51,0.13949999999999999
69,52,0.09699999999999999
69,54,0.0788
69,164,0.2726
70,1,1.0
71,201,0.20010000000000003
71,202,0.0942
71,204,0.1648
71,205,0.20010000000000003
71,206,0.3407
72,41,0.08109999999999999
72,240,0.1776
72,348,0.1699
72,350,0.41700000000000004
72,351,0.1544
73,318,0.146
73,320,0.8540000000000001
74,82,0.0977
74,84,0.1504
74,85,0.19579999999999997
74,86,0.0526
74,118,0.0526
74,119,0.1503
74,194,0.1503
74,195,0.1503
75,21,0.3443
75,24,0.6557
76,3,0.5
76,5,0.5
77,314,0.5361
77,317,0.0898
77,318,0.2843
77,319,0.0898
