area_id,node,factor
1,53,0.0273
1,104,0.0273
1,105,0.0273
1,106,0.11480000000000001
1,108,0.0546
1,111,0.26230000000000003
1,170,0.317
1,171,0.1421
1,172,0.0273
2,112,0.11960000000000001
2,113,0.192
2,174,0.0942
2,176,0.11960000000000001
2,178,0.057999999999999996
2,189,0.0507
2,190,0.19920000000000002
2,191,0.16670000000000001
3,303,0.1068
3,305,0.11140000000000001
3,306,0.5409
3,344,0.2409
4,8,1.0
5,337,0.1
5,338,0.9
6,336,1.0
7,40,1.0
8,43,0.32130000000000003
8,45,0.4537
8,46,0.060300000000000006
8,240,0.0201
8,352,0.0201
8,353,0.1245
9,257,0.4079
9,260,0.09210000000000002
9,262,0.5
10,302,1.0
11,138,1.0
12,13,0.2469
12,14,0.2593
12,15,0.4938
13,292,0.1711
13,294,0.8289
14,350,1.0
15,108,1.0
16,316,1.0
17,316,1.0
18,48,0.4062
18,51,0.1562
18,106,0.2188
18,107,0.2188
19,250,0.5
19,268,0.5
20,253,0.968
20,339,0.0123
20,340,0.0197
21,280,1.0
22,290,1.0
23,271,0.5292
23,282,0.14800000000000002
23,286,0.278
23,292,0.044800000000000006
24,332,0.2
24,333,0.1
24,334,0.7000000000000001
25,23,0.3333
25,148,0.6667000000000001
26,336,1.0
27,338,1.0
28,338,1.0
29,40,0.6667000000000001
29,251,0.3333
30,333,1.0
31,56,0.06860000000000001
31,60,0.1373
31,63,0.1374
31,64,0.0294
31,65,0.049
31,66,0.049
31,172,0.06860000000000001
31,173,0.06860000000000001
31,175,0.06860000000000001
31,176,0.1373
31,177,0.1176
31,178,0.06860000000000001
32,205,0.1
32,215,0.2286
32,222,0.6714
33,79,0.4286
33,197,0.5714
34,209,1.0
35,338,1.0
36,18,0.5
36,19,0.5
37,44,0.6
37,45,0.4
38,333,1.0
39,298,0.8254000000000001
39,301,0.0034000000000000002
39,307,0.0805
39,311,0.0556
39,314,0.0351
40,253,1.0
41,60,0.5532
41,149,0.2979
41,150,0.1489
42,42,1.0
43,241,1.0
44,257,1.0
45,21,1.0
46,308,0.5
46,316,0.5
47,135,1.0
48,39,0.5
48,251,0.5
49,85,1.0
50,98,0.6
50,216,0.4
51,38,0.43950000000000006
51,42,0.1211
51,224,0.4394
52,35,0.33899999999999997
52,130,0.6609999999999999
53,93,1.0
54,245,1.0
55,32,0.2
55,140,0.8
56,266,1.0
57,86,1.0
58,25,0.3032
58,243,0.6968000000000001
59,143,1.0
60,115,0.1429
60,121,0.8571
61,78,0.28
61,80,0.72
62,35,1.0
63,242,1.0
64,242,0.25
64,243,0.5
64,247,0.25
65,167,0.1014
65,168,0.3768
65,169,0.5218
66,150,1.0
67,42,1.0
68,316,0.33340000000000003
68,320,0.3333
68,321,0.3333
69,165,1.0
70,1,1.0
71,201,0.2
71,204,0.8
72,41,0.4852
72,240,0.23670000000000002
72,348,0.0296
72,350,0.1893
72,351,0.0592
73,318,0.6176
73,319,0.2635
73,320,0.1189
74,195,1.0
75,24,1.0
76,3,0.5
76,5,0.5
77,314,0.5361
77,317,0.0898
77,318,0.2843
77,319,0.0898
78,316,0.1477
78,350,0.8523000000000001
79,1,0.7105
79,3,0.2895
80,264,1.0
81,276,1.0
82,55,0.6667000000000001
82,170,0.3333
83,316,1.0
84,5,1.0
85,162,0.5
85,163,0.5
86,6,1.0
87,320,0.5872
87,321,0.4128
88,320,1.0
89,320,1.0
90,163,1.0
91,6,0.6154000000000001
91,162,0.3846
92,40,0.024700000000000003
92,41,0.024700000000000003
92,42,0.0253
92,43,0.0253
92,44,0.0253
92,45,0.0253
92,46,0.11939999999999999
92,47,0.11939999999999999
92,240,0.0253
92,253,0.0108
92,255,0.0011
92,256,0.001
92,257,0.0116
92,260,0.0011
92,262,0.0011
92,264,0.0011
92,266,0.0011
92,271,0.0048
92,276,0.001
92,278,0.001
92,280,0.0048
92,282,0.0048
92,284,0.0048
92,286,0.0048
92,288,0.0048
92,290,0.0048
92,292,0.0048
92,294,0.0048
92,301,0.006500000000000001
92,302,0.006500000000000001
92,303,0.006500000000000001
92,304,0.006500000000000001
92,305,0.0048
92,306,0.0048
92,307,0.006500000000000001
92,339,0.014499999999999999
92,340,0.014499999999999999
92,341,0.014499999999999999
92,342,0.0128
92,343,0.0128
92,344,0.0128
92,346,0.013500000000000002
92,347,0.0108
92,348,0.0108
92,350,0.0318
92,351,0.0318
92,352,0.0253
92,353,0.0253
92,354,0.11939999999999999
92,355,0.1185
93,337,1.0
