area_id,node,factor
40,253,1.0
41,58,0.0579
41,59,0.0579
41,60,0.0579
41,61,0.0412999999999999
41,62,0.1736
41,63,0.1157
41,64,0.1405
41,149,0.3552
42,41,0.2971
42,42,0.3659
42,43,0.0913
42,240,0.2457
43,241,1.0
44,257,1.0
45,21,1.0
46,316,1.0
47,126,0.2
47,127,0.2
47,128,0.2
47,135,0.1
47,136,0.1
47,137,0.1
47,145,0.1
48,32,0.0438
48,35,0.3437
48,38,0.0875
48,39,0.1311999999999999
48,245,0.175
48,251,0.2188
49,82,0.1106
49,85,0.0511
49,86,0.0383
49,197,0.166
49,199,0.6042000000000001
49,200,0.0298
50,98,0.0761
50,204,0.1414
50,205,0.3369
50,215,0.4456
51,38,0.134
51,40,0.0722
51,41,0.2062
51,42,0.0722
51,224,0.134
51,226,0.3814
52,35,0.165
52,38,0.099
52,100,0.165
52,130,0.1886
52,133,0.1556
52,224,0.2268
53,86,0.0418
53,89,0.1255
53,92,0.1614999999999999
53,93,0.1674
53,121,0.0837
53,122,0.0418
53,124,0.2108
53,125,0.1255
53,213,0.0418
54,32,0.2606
54,243,0.1862
54,245,0.1489
54,247,0.1862
54,250,0.2181
55,26,0.1296
55,29,0.0648
55,30,0.1852
55,32,0.2963
55,141,0.3241
56,264,0.1542
56,266,0.1701
56,276,0.0951999999999999
56,278,0.5805
57,86,0.0543
57,89,0.2392
57,92,0.2065
57,93,0.1086
57,200,0.1739
57,203,0.2173999999999999
58,24,0.0198
58,25,0.1186
58,26,0.0198
58,29,0.1441
58,30,0.0395
58,32,0.0791
58,241,0.2571
58,242,0.1864
58,243,0.1356
59,142,0.1191
59,143,0.0773
59,144,0.125
59,145,0.0834
59,146,0.143
59,147,0.0416
59,148,0.4107
60,113,0.2775
60,114,0.3397
60,115,0.0622
60,116,0.0335
60,117,0.0335
60,118,0.2536
61,75,0.0233
61,77,0.0591
61,78,0.0233
61,79,0.0466
61,80,0.0574
61,81,0.0807
61,82,0.0287
61,113,0.0375
61,114,0.0215
61,115,0.0125
61,116,0.1039
61,117,0.0861
61,188,0.0375
61,189,0.0466
61,190,0.0466
61,191,0.104
61,192,0.0753
61,194,0.052
61,195,0.0574
62,32,0.2754
62,35,0.3478
62,133,0.3768
63,242,0.44
63,246,0.56
64,242,0.3284
64,243,0.1373
64,246,0.2647
64,247,0.2696
65,151,0.5338
65,153,0.1605
65,156,0.0864
65,158,0.0864
65,159,0.0829
65,163,0.025
65,167,0.025
66,151,0.73
66,152,0.13
66,158,0.07
66,159,0.07
67,42,0.2727
67,43,0.4849
67,226,0.2423999999999999
68,316,0.3334
68,320,0.3333
68,321,0.3333
69,7,0.2545
69,8,0.1576
69,51,0.1394999999999999
69,52,0.0969999999999999
69,54,0.0788
69,164,0.2726
70,1,1.0
71,201,0.2001
71,202,0.0942
71,204,0.1648
71,205,0.2001
71,206,0.3407
72,41,0.0810999999999999
72,240,0.1776
72,348,0.1699
72,350,0.417
72,351,0.1544
73,318,0.146
73,320,0.8540000000000001
74,82,0.0977
74,84,0.1504
74,85,0.1957999999999999
74,86,0.0526
74,118,0.0526
74,119,0.1503
74,194,0.1503
74,195,0.1503
75,21,0.3443
75,24,0.6557
76,3,0.5
76,5,0.5
77,314,0.5361
77,317,0.0898
77,318,0.2843
77,319,0.0898
78,316,0.8081999999999999
78,350,0.1918
79,1,0.8
79,3,0.2
80,262,0.4781
80,264,0.2368
80,276,0.2851
81,274,0.6854000000000001
81,276,0.3146
82,54,0.3017
82,55,0.1321
82,56,0.1321
82,170,0.4341
83,316,0.2
83,317,0.2
83,318,0.2
83,319,0.2
83,321,0.2
84,5,1.0
85,4,0.5
85,5,0.5
86,6,1.0
87,319,1.0
88,320,1.0
89,320,1.0
90,6,0.5
90,7,0.5
91,6,1.0
92,40,0.0247
92,41,0.0247
92,42,0.0253
92,43,0.0253
92,44,0.0253
92,45,0.0253
92,46,0.1193999999999999
92,47,0.1193999999999999
92,240,0.0253
92,253,0.0108
92,255,0.0011
92,256,0.001
92,257,0.0116
92,260,0.0011
92,262,0.0011
92,264,0.0011
92,266,0.0011
92,271,0.0048
92,276,0.001
92,278,0.001
92,280,0.0048
92,282,0.0048
92,284,0.0048
92,286,0.0048
92,288,0.0048
92,290,0.0048
92,292,0.0048
92,294,0.0048
92,301,0.0065
92,302,0.0065
92,303,0.0065
92,304,0.0065
92,305,0.0048
92,306,0.0048
92,307,0.0065
92,339,0.0144999999999999
92,340,0.0144999999999999
92,341,0.0144999999999999
92,342,0.0128
92,343,0.0128
92,344,0.0128
92,346,0.0135
92,347,0.0108
92,348,0.0108
92,350,0.0318
92,351,0.0318
92,352,0.0253
92,353,0.0253
92,354,0.1193999999999999
92,355,0.1185
93,337,1.0
94,253,1.0
95,253,0.3333
95,257,0.6667000000000001
96,256,0.5
96,280,0.5
97,337,1.0
98,348,0.5
98,350,0.5
99,342,1.0
100,253,0.1148
100,257,0.6557
100,260,0.2295
101,253,1.0
102,54,0.1110999999999999
102,55,0.1112
102,56,0.1110999999999999
102,164,0.1110999999999999
102,165,0.1110999999999999
102,167,0.1110999999999999
102,168,0.1110999999999999
102,169,0.1110999999999999
102,171,0.1110999999999999
103,4,1.0
104,26,1.0
105,242,1.0
106,242,1.0
107,110,0.3681
107,111,0.1805999999999999
107,112,0.0694
107,113,0.2135
107,114,0.1684
108,22,1.0
109,32,1.0
110,30,0.5
110,32,0.5
111,130,0.2282999999999999
111,135,0.1141
111,136,0.1902
111,137,0.0761
111,142,0.0761
111,143,0.2228
111,144,0.0924
112,26,0.5
112,29,0.5
113,108,0.6667000000000001
113,113,0.1667
113,114,0.1666
114,24,1.0
115,246,1.0
116,241,0.0795
116,242,0.9205
117,246,1.0
118,26,0.5
118,29,0.5
119,260,0.1072
119,262,0.126
119,264,0.0938
119,266,0.1099
119,268,0.0188
119,269,0.0751
119,271,0.0375
119,280,0.0188
119,282,0.1072
119,284,0.1448
119,286,0.1609
120,23,0.2523
120,24,0.3063
120,241,0.4414
121,301,0.0070999999999999
121,302,0.0070999999999999
121,304,0.0070999999999999
121,305,0.0191
121,306,0.0191
121,316,0.0838
121,317,0.0391
121,318,0.0391
121,319,0.0391
