area_id,extension,10,11,12,1,2,3,4,5,6,7,8,9
1,base,0.00,251.00,251.00,251.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,base,0.00,129.00,129.00,129.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,base,0.00,296.00,296.00,296.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
