DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,53,4,21,59,8,48,0,90,0,12,0,108,540,0,428
1923,BN,53,5,21,59,9,45,0,80,0,13,0,98,601,0,388
1924,C,53,1,24,51,10,57,0,73,0,13,0,95,615,0,379
1925,D,53,5,20,49,8,52,0,72,0,10,0,86,674,0,342
1926,D,53,4,20,61,4,48,0,77,0,14,0,94,625,0,373
1927,W,53,3,21,60,7,47,0,74,0,14,0,91,641,0,362
1928,AN,53,6,21,63,7,44,0,79,0,13,0,98,596,0,391
1929,C,53,3,21,59,10,47,0,85,0,12,0,101,579,0,403
1930,D,53,7,21,67,11,45,0,92,0,12,0,124,448,0,492
1931,C,53,12,21,64,14,40,0,88,0,9,0,114,505,0,452
1932,D,53,12,21,61,15,42,0,87,0,8,0,112,514,0,446
1933,C,53,12,22,57,15,44,0,87,0,8,0,111,524,0,440
1934,C,53,12,22,54,15,47,0,86,0,7,0,109,532,0,434
1935,BN,53,12,23,51,16,49,0,86,0,6,0,108,542,0,427
1936,BN,53,12,23,47,16,51,0,86,0,6,0,106,549,0,422
1937,BN,53,12,24,44,16,53,0,85,0,5,0,105,557,0,417
1938,W,53,12,24,41,17,55,0,85,0,5,0,104,563,0,413
1939,D,53,13,24,40,16,57,0,85,0,5,0,105,557,0,417
1940,AN,53,14,24,38,16,59,0,85,0,5,0,106,550,0,422
1941,W,53,15,24,37,16,61,0,85,0,5,0,107,543,0,426
1942,W,53,16,24,36,15,63,0,85,0,5,0,108,538,0,430
1943,W,53,17,23,35,15,64,0,85,0,5,0,110,530,0,435
1944,D,53,18,23,34,15,66,0,85,0,5,0,111,524,0,439
1945,BN,53,19,23,33,14,68,0,85,4,5,0,118,483,0,467
1946,BN,53,20,23,32,14,70,0,84,7,4,0,122,457,0,485
1947,D,53,21,23,31,14,71,0,84,9,4,0,127,427,0,506
1948,BN,53,22,22,30,13,73,0,84,11,4,0,133,397,0,528
1949,D,53,22,23,34,13,70,0,83,12,4,0,133,395,0,529
1950,BN,53,22,24,38,13,66,0,81,13,4,0,134,390,0,533
1951,AN,53,22,24,42,14,63,0,79,14,4,0,135,386,0,535
1952,W,53,22,25,46,14,60,0,78,15,4,0,136,380,0,540
1953,W,53,22,26,49,14,56,0,76,16,4,0,137,374,0,544
1954,AN,53,22,26,53,14,53,0,75,17,4,0,138,370,0,547
1955,D,53,22,27,57,14,49,0,73,19,4,0,139,363,0,552
1956,W,53,21,27,60,14,48,0,72,19,4,0,139,362,0,553
1957,AN,53,20,27,62,15,47,0,70,19,4,0,140,360,0,555
1958,W,53,19,27,65,15,47,0,69,19,5,0,141,354,0,558
1959,BN,53,18,27,67,15,46,0,68,19,5,0,141,353,0,559
1960,D,53,18,27,70,15,45,0,67,20,5,0,141,350,0,561
1961,D,53,17,27,72,16,46,0,66,20,5,0,147,319,0,584
1962,BN,54,17,27,74,15,48,0,63,19,5,0,145,330,0,575
1963,W,56,17,26,75,15,49,0,60,19,6,0,143,338,0,568
1964,D,57,17,26,77,14,50,0,57,19,6,0,142,343,0,563
1965,W,58,17,26,78,13,52,0,54,19,6,0,140,350,0,558
1966,BN,60,17,26,79,13,53,0,51,19,6,0,139,355,0,553
1967,W,61,17,26,81,12,55,0,48,18,6,0,138,360,0,548
1968,BN,63,17,26,82,12,56,0,45,18,6,0,136,368,0,542
1969,W,66,17,26,83,11,57,0,42,18,6,1,135,371,0,537
1970,W,69,17,26,85,11,59,0,39,18,7,1,134,373,0,534
1971,W,72,17,26,86,10,60,0,36,17,7,1,134,375,0,530
1972,BN,75,17,26,87,9,60,0,33,17,7,2,131,387,0,520
1973,AN,78,17,26,89,9,62,0,30,17,7,2,131,385,0,519
1974,W,82,17,26,91,8,63,0,27,17,7,3,131,358,0,541
1975,W,89,16,24,96,10,60,0,24,16,7,3,123,372,0,530
1976,C,98,15,23,102,12,57,0,20,16,7,3,121,381,0,518
1977,C,98,16,27,95,8,65,0,18,19,7,3,126,346,0,543
1978,AN,102,15,22,103,8,63,0,21,19,7,3,131,316,0,562
1979,BN,104,14,21,104,8,62,0,19,18,7,3,125,346,0,539
1980,AN,105,16,22,97,9,55,0,20,17,7,3,110,434,0,476
1981,D,109,15,21,97,9,64,0,20,17,7,4,123,355,0,530
1982,W,113,14,21,108,6,47,0,20,18,8,4,109,436,0,470
1983,W,116,14,21,85,7,40,0,6,16,8,4,75,656,0,323
1984,W,119,13,23,99,10,46,0,22,17,7,4,106,448,0,456
1985,D,121,12,24,86,11,51,0,23,16,8,4,100,483,0,431
1986,W,122,12,25,71,10,53,0,23,16,8,5,87,563,0,377
1987,D,123,12,27,66,11,54,0,23,15,8,5,87,567,0,374
1988,C,124,12,29,64,12,56,0,23,15,8,5,89,547,0,386
1989,D,126,12,29,67,11,65,0,23,18,8,6,102,466,0,440
1990,C,126,12,29,75,11,66,0,23,18,8,6,112,401,0,485
1991,C,130,12,29,75,11,66,0,23,18,8,6,112,396,0,486
1992,C,134,12,29,75,11,66,0,23,18,8,6,113,390,0,487
1993,AN,138,12,29,75,12,56,0,21,17,8,5,99,468,0,430
1994,C,142,12,29,75,11,66,0,23,18,8,6,113,380,0,489
1995,W,144,14,28,114,4,23,0,29,19,8,8,112,382,0,486
1996,W,146,9,29,112,2,32,0,24,20,7,13,116,361,0,500
1997,W,148,13,28,120,2,24,0,21,19,7,17,117,348,0,508
1998,W,150,16,31,112,1,17,0,24,21,7,19,114,369,0,491
1999,W,152,17,32,108,2,26,0,23,19,7,18,121,322,0,524
