DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,1,21,105,291,40,239,0,447,0,62,0,17,83,0,66
1923,BN,1,24,105,295,43,225,0,397,0,64,0,20,120,0,78
1924,C,1,5,121,254,49,284,0,363,0,64,0,20,130,0,80
1925,D,1,24,101,246,38,259,0,358,0,51,0,23,180,0,91
1926,D,1,20,101,302,18,237,0,382,0,70,0,21,138,0,82
1927,W,1,13,102,298,33,233,0,366,0,68,0,21,151,0,85
1928,AN,1,29,104,314,34,221,0,393,0,62,0,19,117,0,77
1929,C,1,13,105,292,49,234,0,422,0,59,0,18,105,0,73
1930,D,1,36,105,334,55,224,0,460,0,57,0,12,42,0,46
1931,C,1,59,105,320,71,200,0,436,0,43,0,15,65,0,58
1932,D,1,59,107,303,72,211,0,434,0,40,0,15,69,0,60
1933,C,1,59,109,286,74,221,0,432,0,37,0,16,74,0,62
1934,C,1,59,112,269,76,232,0,430,0,35,0,16,78,0,64
1935,BN,1,58,114,252,78,243,0,428,0,32,0,17,84,0,66
1936,BN,1,58,116,236,79,254,0,426,0,29,0,17,88,0,67
1937,BN,1,58,119,219,81,265,0,425,0,27,0,17,92,0,69
1938,W,1,58,121,202,83,276,0,423,0,24,0,18,96,0,70
1939,D,1,63,121,197,81,285,0,423,0,24,0,17,92,0,69
1940,AN,1,68,120,191,80,293,0,422,0,24,0,17,88,0,68
1941,W,1,73,118,186,78,302,0,422,0,24,0,17,84,0,66
1942,W,1,78,117,181,76,311,0,421,0,23,0,16,81,0,65
1943,W,1,84,116,175,75,320,0,421,0,23,0,16,77,0,63
1944,D,1,89,115,170,73,329,0,421,0,23,0,16,74,0,62
1945,BN,1,94,114,164,71,338,0,421,22,22,0,14,56,0,54
1946,BN,1,100,113,159,70,347,0,420,34,22,0,12,46,0,48
1947,D,1,105,113,154,68,356,0,420,45,22,0,11,36,0,42
1948,BN,1,110,112,148,66,365,0,420,56,22,0,9,27,0,36
1949,D,1,110,114,168,67,348,0,411,61,22,0,9,26,0,35
1950,BN,1,109,118,188,67,331,1,403,66,21,0,9,25,0,34
1951,AN,1,109,121,207,68,313,1,395,71,21,0,8,24,0,33
1952,W,1,108,124,227,68,296,1,387,77,21,0,8,22,0,32
1953,W,1,108,127,246,69,279,1,379,82,20,0,8,21,0,31
1954,AN,1,107,130,266,69,262,1,371,87,20,0,8,20,0,30
