DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,15,40,203,561,77,461,0,862,0,119,0,39,197,0,156
1923,BN,15,47,202,568,84,433,0,765,0,124,0,44,272,0,176
1924,C,15,9,232,490,94,546,0,700,0,123,0,45,293,0,181
1925,D,15,47,194,473,74,499,0,689,0,97,0,50,392,0,199
1926,D,15,38,195,582,35,457,0,735,0,135,0,46,309,0,184
1927,W,15,25,197,573,64,448,0,706,0,131,0,48,335,0,189
1928,AN,15,57,201,605,65,426,0,758,0,120,0,44,266,0,175
1929,C,15,25,203,562,95,450,0,813,0,113,0,43,243,0,169
1930,D,15,69,201,643,107,431,0,886,0,110,0,31,113,0,124
1931,C,15,114,201,615,137,385,0,840,0,82,0,36,160,0,144
1932,D,15,114,205,583,140,406,0,836,0,78,0,37,169,0,147
1933,C,15,113,210,551,143,426,0,833,0,72,0,38,179,0,150
1934,C,15,113,215,518,146,447,0,829,0,67,0,39,188,0,153
1935,BN,15,112,219,486,149,467,0,825,0,62,0,39,199,0,157
1936,BN,15,112,224,454,153,489,0,821,0,56,0,40,206,0,159
1937,BN,15,111,229,422,156,510,0,818,0,51,0,41,215,0,161
1938,W,15,111,234,390,160,531,0,814,0,47,0,41,223,0,164
1939,D,15,121,232,379,156,548,0,814,0,46,0,41,215,0,161
1940,AN,15,131,231,369,154,565,0,813,0,46,0,40,208,0,159
1941,W,15,140,228,359,150,583,0,813,0,46,0,39,200,0,157
1942,W,15,151,226,348,147,599,0,812,0,45,0,39,194,0,155
1943,W,15,161,224,337,144,617,0,811,0,45,0,38,185,0,152
1944,D,15,171,222,327,140,634,0,810,0,44,0,38,179,0,150
1945,BN,15,182,220,315,137,651,1,810,43,43,0,34,141,0,136
1946,BN,15,192,218,306,134,668,1,810,65,42,0,32,120,0,127
1947,D,15,203,217,296,131,685,1,810,87,42,0,29,98,0,117
1948,BN,15,212,215,286,128,703,1,809,109,42,0,27,79,0,106
1949,D,15,211,220,324,128,670,1,792,118,42,0,26,78,0,105
1950,BN,15,210,227,362,129,637,1,776,128,41,0,26,76,0,103
1951,AN,15,209,232,399,130,604,1,761,138,40,0,26,74,0,102
1952,W,15,208,239,437,131,571,1,745,148,40,0,25,70,0,100
1953,W,15,207,246,474,132,538,2,730,158,39,0,25,67,0,98
1954,AN,15,206,251,512,133,504,2,715,167,39,0,24,65,0,96
1955,D,15,206,258,549,134,471,2,699,177,38,1,24,61,0,94
1956,W,15,199,258,573,136,462,2,686,179,40,1,23,61,0,93
1957,AN,15,191,257,597,139,454,1,675,181,42,1,23,60,0,92
1958,W,15,185,257,621,142,446,1,664,183,44,1,23,57,0,91
1959,BN,15,177,256,645,145,438,1,654,185,46,0,23,57,0,90
1960,D,15,171,255,669,147,429,1,642,187,47,0,22,55,0,89
1961,D,15,162,255,693,150,444,1,631,190,50,0,20,42,0,78
1962,BN,16,162,254,707,145,457,1,600,187,51,0,21,47,0,83
1963,W,16,162,253,720,140,470,1,572,184,53,0,22,51,0,86
1964,D,16,162,253,734,134,484,1,544,182,54,1,22,54,0,89
1965,W,17,162,253,747,129,497,1,516,180,55,2,23,58,0,92
1966,BN,17,162,252,760,124,510,1,487,177,57,3,24,61,0,95
1967,W,18,162,252,773,118,524,1,459,175,58,4,24,64,0,97
1968,BN,18,161,251,786,113,538,0,432,172,60,4,25,69,0,101
1969,W,19,161,251,799,107,551,0,404,171,61,5,26,72,0,104
1970,W,20,161,250,812,102,565,0,376,168,62,7,27,74,0,106
1971,W,21,161,249,825,96,578,0,347,166,64,10,27,77,0,108
1972,BN,21,161,249,838,91,578,0,319,163,66,16,29,85,0,114
1973,AN,22,161,248,852,85,591,0,291,161,67,22,29,85,0,115
1974,W,24,161,247,868,80,603,0,263,159,69,28,29,79,0,120
1975,W,26,153,232,922,97,576,0,227,154,69,28,30,89,0,127
1976,C,28,143,217,975,115,550,0,189,150,69,29,31,99,0,135
1977,C,28,155,259,913,73,626,0,170,180,69,29,29,78,0,123
1978,AN,29,139,212,988,72,608,0,197,180,68,30,27,65,0,115
1979,BN,30,139,199,998,74,594,0,186,174,68,32,29,81,0,126
1980,AN,30,150,206,927,87,531,0,189,165,70,33,37,145,0,159
1981,D,31,144,205,929,90,611,1,194,166,70,34,31,90,0,134
1982,W,32,137,198,1030,57,449,1,195,172,72,35,38,152,0,163
1983,W,33,131,204,819,68,383,0,61,158,72,37,54,476,0,234
1984,W,34,124,221,949,98,441,0,214,159,71,39,40,168,0,171
1985,D,35,120,234,829,107,488,0,217,154,72,42,42,206,0,183
1986,W,35,119,242,676,92,512,0,217,151,72,44,48,312,0,209
1987,D,35,118,262,631,109,514,0,220,143,73,47,49,319,0,211
1988,C,36,118,275,614,119,532,0,224,147,73,50,47,290,0,205
1989,D,36,114,275,645,106,621,0,224,168,75,53,42,191,0,180
1990,C,36,110,275,716,102,632,0,225,174,77,56,37,131,0,159
1991,C,37,110,275,716,102,632,0,225,174,77,56,37,130,0,159
1992,C,39,110,275,716,102,632,0,225,174,77,56,37,128,0,160
1993,AN,40,113,276,721,112,541,0,204,163,74,51,43,204,0,187
1994,C,41,110,275,716,102,632,0,225,174,77,56,37,125,0,160
1995,W,41,135,271,1090,40,217,0,276,185,74,74,38,127,0,162
1996,W,42,85,277,1072,19,311,0,228,194,70,126,36,113,0,157
1997,W,43,127,272,1146,18,227,0,197,179,68,161,35,105,0,153
1998,W,43,154,301,1069,13,159,0,227,198,63,181,37,121,0,161
1999,W,44,167,303,1035,18,250,0,220,180,69,174,34,90,0,147
2000,AN,44,149,278,1001,23,239,0,206,170,76,215,38,126,0,164
2001,D,45,132,306,963,0,321,0,205,144,75,228,37,114,0,160
2002,D,45,132,306,963,0,321,0,205,144,75,228,37,114,0,160
2003,AN,46,149,278,1001,23,239,0,206,170,76,215,38,123,0,165
2004,BN,11,0,551,1032,0,50,0,99,431,0,0,67,336,38,111 
2005,AN,11,0,551,1032,0,50,0,99,431,0,0,67,336,38,111 
2006,W,11,0,551,1032,0,50,0,99,431,0,0,67,336,38,111 
2007,D,11,0,551,1032,0,50,0,99,431,0,0,67,336,38,111 
2008,C,13,0,605,1005,0,41,0,99,431,0,0,67,333,19,111
2009,D,16,0,660,978,0,33,0,99,431,0,0,67,331,0,111
2010,BN,16,0,660,978,0,33,0,99,431,0,0,67,331,0,111
2011,W,16,0,660,978,0,33,0,99,431,0,0,67,331,0,111
2012,BN,0,0,481,497,0,0,0,71,544,0,0,87,928,0,119
2013,D,0,0,481,497,0,0,0,71,544,0,0,87,928,0,119
2014,C,0,0,481,497,0,0,0,71,544,0,0,87,928,0,119
2015,C,0,0,481,497,0,0,0,71,544,0,0,87,928,0,119
2016,W,0,0,481,497,0,0,0,71,544,0,0,87,928,0,119
