DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,0,0,0,0,0,0,0,0,0,0,0,5,23,0,19
1923,BN,0,0,0,0,0,0,0,0,0,0,0,4,26,0,17
1924,C,0,0,0,0,0,0,0,0,0,0,0,4,26,0,16
1925,D,0,0,0,0,0,0,0,0,0,0,0,4,29,0,15
1926,D,0,0,0,0,0,0,0,0,0,0,0,4,27,0,16
1927,W,0,0,0,0,0,0,0,0,0,0,0,4,27,0,15
1928,AN,0,0,0,0,0,0,0,0,0,0,0,4,26,0,17
1929,C,0,0,0,0,0,0,0,0,0,0,0,4,25,0,17
1930,D,0,0,0,0,0,0,0,0,0,0,0,5,20,0,22
1931,C,0,0,0,0,0,0,0,0,0,0,0,5,22,0,20
1932,D,0,0,0,0,0,0,0,0,0,0,0,5,22,0,19
1933,C,0,0,0,0,0,0,0,0,0,0,0,5,23,0,19
1934,C,0,0,0,0,0,0,0,0,0,0,0,5,23,0,19
1935,BN,0,0,0,0,0,0,0,0,0,0,0,5,24,0,19
1936,BN,0,0,0,0,0,0,0,0,0,0,0,5,24,0,18
1937,BN,0,0,0,0,0,0,0,0,0,0,0,5,24,0,18
1938,W,0,0,0,0,0,0,0,0,0,0,0,5,24,0,18
1939,D,0,0,0,0,0,0,0,0,0,0,0,5,24,0,18
1940,AN,0,0,0,0,0,0,0,0,0,0,0,5,24,0,18
1941,W,0,0,0,0,0,0,0,0,0,0,0,5,24,0,19
1942,W,0,0,0,0,0,0,0,0,0,0,0,5,23,0,19
1943,W,0,0,0,0,0,0,0,0,0,0,0,5,23,0,19
1944,D,0,0,0,0,0,0,0,0,0,0,0,5,23,0,19
1945,BN,0,0,0,0,0,0,0,0,0,0,0,5,21,0,20
1946,BN,0,0,0,0,0,0,0,0,0,0,0,5,20,0,21
1947,D,0,0,0,0,0,0,0,0,0,0,0,6,19,0,22
1948,BN,0,0,0,0,0,0,0,0,0,0,0,6,18,0,23
1949,D,0,0,0,0,0,0,0,0,0,0,0,6,17,0,23
1950,BN,0,0,0,0,0,0,0,0,0,0,0,6,17,0,24
1951,AN,0,0,0,0,0,0,0,0,0,0,0,6,17,0,24
1952,W,0,0,0,0,0,0,0,0,0,0,0,6,17,0,24
1953,W,0,0,0,0,0,0,0,0,0,0,0,6,17,0,24
1954,AN,0,0,0,0,0,0,0,0,0,0,0,6,16,0,24
1955,D,0,0,0,0,0,0,0,0,0,0,0,6,16,0,25
1956,W,0,0,0,0,0,0,0,0,0,0,0,6,16,0,25
1957,AN,0,0,0,0,0,0,0,0,0,0,0,6,16,0,25
1958,W,0,0,0,0,0,0,0,0,0,0,0,6,16,0,25
1959,BN,0,0,0,0,0,0,0,0,0,0,0,6,16,0,25
1960,D,0,0,0,0,0,0,0,0,0,0,0,6,16,0,25
1961,D,0,0,0,0,0,0,0,0,0,0,0,7,14,0,26
1962,BN,0,0,0,0,0,0,0,0,0,0,0,6,15,0,26
1963,W,0,0,0,0,0,0,0,0,0,0,0,6,15,0,25
1964,D,0,0,0,0,0,0,0,0,0,0,0,6,15,0,25
1965,W,0,0,0,0,0,0,0,0,0,0,0,6,16,0,25
1966,BN,0,0,0,0,0,0,0,0,0,0,0,6,16,0,25
1967,W,0,0,0,0,0,0,0,0,0,0,0,6,16,0,25
1968,BN,0,0,0,0,0,0,0,0,0,0,0,6,16,0,24
1969,W,0,0,0,0,0,0,0,0,0,0,0,6,17,0,24
1970,W,0,0,0,0,0,0,0,0,0,0,0,6,17,0,24
1971,W,0,0,0,0,0,0,0,0,0,0,0,6,17,0,24
1972,BN,0,0,0,0,0,0,0,0,0,0,0,6,17,0,23
1973,AN,0,0,0,0,0,0,0,0,0,0,0,6,17,0,23
1974,W,0,0,0,0,0,0,0,0,0,0,0,6,16,0,25
1975,W,0,0,0,0,0,0,0,0,0,0,0,6,17,0,24
1976,C,0,0,0,0,0,0,0,0,0,0,0,6,17,0,24
1977,C,0,0,0,0,0,0,0,0,0,0,0,6,16,0,25
1978,AN,0,0,0,0,0,0,0,0,0,0,0,6,15,0,26
1979,BN,0,0,0,0,0,0,0,0,0,0,0,6,16,0,25
1980,AN,0,0,0,0,0,0,0,0,0,0,0,5,20,0,22
1981,D,0,0,0,0,0,0,0,0,0,0,0,6,16,0,25
1982,W,0,0,0,0,0,0,0,0,0,0,0,5,20,0,22
1983,W,0,0,0,0,0,0,0,0,0,0,0,3,29,0,14
1984,W,0,0,0,0,0,0,0,0,0,0,0,5,21,0,21
1985,D,0,0,0,0,0,0,0,0,0,0,0,5,22,0,20
1986,W,0,0,0,0,0,0,0,0,0,0,0,4,26,0,17
1987,D,0,0,0,0,0,0,0,0,0,0,0,4,26,0,17
1988,C,0,0,0,0,0,0,0,0,0,0,0,4,25,0,18
1989,D,0,0,0,0,0,0,0,0,0,0,0,5,22,0,20
1990,C,0,0,0,0,0,0,0,0,0,0,0,5,19,0,23
1991,C,0,0,0,0,0,0,0,0,0,0,0,5,19,0,23
1992,C,0,0,0,0,0,0,0,0,0,0,0,5,18,0,23
1993,AN,0,0,0,0,0,0,0,0,0,0,0,5,22,0,20
1994,C,0,0,0,0,0,0,0,0,0,0,0,5,18,0,23
1995,W,0,0,0,0,0,0,0,0,0,0,0,5,18,0,23
1996,W,0,0,0,0,0,0,0,0,0,0,0,6,17,0,24
1997,W,0,0,0,0,0,0,0,0,0,0,0,6,17,0,24
1998,W,0,0,0,0,0,0,0,0,0,0,0,5,18,0,24
1999,W,0,0,0,0,0,0,0,0,0,0,0,6,16,0,25
2000,AN,0,0,0,0,0,0,0,0,0,0,0,5,18,0,23
2001,D,0,0,0,0,0,0,0,0,0,0,0,6,17,0,24
2002,D,0,0,0,0,0,0,0,0,0,0,0,6,17,0,24
2003,AN,0,0,0,0,0,0,0,0,0,0,0,5,18,0,24
2004,BN,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0 
2005,AN,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0 
2006,W,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0 
2007,D,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0 
2008,C,0,0,0,0,0,0,0,0,0,0,0,27,0,0,19
2009,D,0,0,0,0,0,0,0,0,0,0,0,8,0,0,38
2010,BN,0,0,0,0,0,0,0,0,0,0,0,8,0,0,38
2011,W,0,0,0,0,0,0,0,0,0,0,0,8,0,0,38
2012,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,43
2013,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,43
2014,C,0,0,0,0,0,0,0,0,0,0,0,2,0,0,43
2015,C,0,0,0,0,0,0,0,0,0,0,0,2,0,0,43
2016,BN,0,0,0,0,0,0,0,0,0,0,0,4,0,0,42
2017,W,0,0,0,0,0,0,0,0,0,0,0,10,0,0,36
2018,BN,0,0,0,0,0,0,0,0,0,0,0,10,0,0,36
2019,W,0,0,0,0,0,0,0,0,0,0,0,10,0,0,36
2020,AN,0,0,0,0,0,0,0,0,0,0,0,10,0,0,36
