DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,88,59,301,832,115,684,0,1277,0,177,0,48,241,0,191
1923,BN,88,70,300,842,124,641,0,1135,0,184,0,57,347,0,225
1924,C,88,14,344,727,140,810,0,1038,0,182,0,59,377,0,232
1925,D,88,70,288,701,110,739,0,1022,0,145,0,66,519,0,264
1926,D,88,56,289,862,52,677,0,1090,0,200,0,60,399,0,238
1927,W,88,36,292,850,95,664,0,1046,0,194,0,62,437,0,247
1928,AN,88,84,297,897,97,631,0,1123,0,178,0,56,339,0,222
1929,C,88,36,301,833,141,667,0,1205,0,168,0,54,306,0,213
1930,D,88,102,299,953,158,640,0,1313,0,164,0,34,124,0,137
1931,C,88,169,299,913,203,570,0,1245,0,122,0,43,190,0,170
1932,D,88,169,304,865,207,602,0,1239,0,115,0,44,203,0,176
1933,C,88,168,311,817,212,632,0,1235,0,107,0,46,216,0,181
1934,C,88,168,318,769,217,663,0,1229,0,100,0,47,228,0,186
1935,BN,88,166,324,721,221,693,0,1223,0,91,0,48,243,0,192
1936,BN,88,166,332,673,227,725,0,1217,0,83,0,49,254,0,196
1937,BN,88,165,339,626,232,756,0,1213,0,76,0,50,267,0,200
1938,W,88,165,346,578,237,787,0,1207,0,70,0,51,278,0,204
1939,D,88,179,344,562,232,813,0,1207,0,69,0,50,267,0,200
1940,AN,88,194,342,547,228,838,0,1206,0,68,0,49,256,0,196
1941,W,88,208,338,532,223,864,0,1205,0,68,0,48,245,0,192
1942,W,88,224,335,516,217,889,0,1204,0,66,0,48,237,0,189
1943,W,88,239,332,500,213,914,0,1202,0,66,0,46,225,0,185
1944,D,88,253,329,484,208,939,0,1201,0,65,0,46,217,0,181
1945,BN,88,270,327,468,204,965,1,1201,63,64,0,40,163,0,158
1946,BN,88,285,323,453,199,991,1,1200,97,63,0,36,134,0,142
1947,D,88,300,322,439,194,1016,1,1200,129,62,0,31,105,0,125
1948,BN,88,314,318,423,190,1043,1,1199,161,62,0,27,80,0,106
1949,D,88,313,327,480,190,993,1,1174,175,62,0,26,78,0,105
1950,BN,88,312,336,536,192,944,1,1151,189,60,0,26,75,0,102
1951,AN,88,310,344,591,193,895,2,1128,204,59,0,25,72,0,100
1952,W,88,309,355,648,195,846,2,1105,219,59,0,24,67,0,96
1953,W,88,307,364,703,196,797,2,1083,234,58,0,23,64,0,93
1954,AN,88,306,372,759,197,747,3,1060,248,58,0,23,61,0,90
1955,D,88,306,383,814,198,699,3,1037,263,57,2,22,56,0,86
1956,W,88,295,383,850,202,686,3,1017,266,59,2,21,56,0,85
1957,AN,88,284,381,885,206,674,2,1001,268,62,2,21,54,0,84
1958,W,88,274,380,921,210,662,2,985,271,65,2,20,51,0,80
1959,BN,88,263,379,957,215,649,2,969,274,68,0,20,50,0,79
1960,D,88,253,378,992,218,637,1,952,278,70,0,20,48,0,78
1961,D,88,240,378,1028,223,658,1,936,281,73,0,15,32,0,59
1962,BN,91,240,377,1048,215,677,1,889,277,76,0,17,38,0,66
1963,W,93,240,376,1067,207,697,1,848,273,78,0,18,42,0,71
1964,D,96,240,374,1088,199,717,1,807,270,79,2,19,45,0,74
1965,W,97,240,374,1107,191,736,1,765,267,82,3,20,49,0,79
1966,BN,99,240,373,1127,183,757,1,723,263,84,5,21,53,0,82
1967,W,102,240,373,1146,175,777,1,681,259,86,6,22,56,0,86
1968,BN,105,239,372,1166,167,797,1,640,256,89,6,23,62,0,91
1969,W,110,239,372,1185,159,817,1,598,253,90,8,23,64,0,93
1970,W,115,239,371,1204,151,837,1,557,249,92,11,24,66,0,95
1971,W,120,239,370,1223,142,857,1,514,245,95,15,24,69,0,97
1972,BN,125,239,369,1242,135,857,1,473,242,97,23,26,78,0,105
1973,AN,130,239,367,1263,126,877,1,432,238,100,32,26,77,0,104
1974,W,138,239,366,1287,119,894,1,390,235,102,41,25,69,0,105
1975,W,149,226,344,1367,144,855,0,336,229,102,41,26,79,0,112
1976,C,163,212,322,1445,170,816,0,280,223,102,43,28,88,0,120
