DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,27,7,5,5,1,0,3,6,0,6,0,5,102,1,4
1923,BN,28,7,5,5,1,0,3,6,0,6,0,5,101,1,4
1924,C,28,7,5,5,1,0,4,6,0,6,0,5,100,1,4
1925,D,29,7,5,5,1,0,4,6,0,6,0,5,99,1,4
1926,D,29,7,5,5,1,0,4,6,0,6,0,5,97,1,4
1927,W,30,7,5,5,1,0,4,6,0,6,0,5,96,1,4
1928,AN,30,7,5,5,1,0,4,6,0,7,0,5,95,1,4
1929,C,31,7,5,5,1,0,4,6,0,7,1,5,94,1,4
1930,D,31,7,6,5,1,0,4,6,0,7,1,5,94,1,4
1931,C,31,7,6,5,1,0,4,6,0,7,1,5,94,1,4
1932,D,31,7,6,5,1,0,4,6,0,7,1,5,94,1,4
1933,C,31,7,6,5,1,0,4,5,0,7,1,5,94,1,4
1934,C,31,7,6,5,1,0,4,5,0,7,0,5,94,1,4
1935,BN,31,7,6,5,1,0,4,5,0,7,0,5,94,1,4
1936,BN,31,7,6,5,1,0,4,5,0,7,0,5,93,1,4
1937,BN,31,7,6,5,1,0,4,5,0,7,0,5,93,1,4
1938,W,31,7,7,5,1,0,4,4,0,7,0,5,93,1,4
1939,D,32,8,7,5,1,0,4,4,0,7,0,5,91,1,4
1940,AN,33,8,7,5,1,0,4,4,0,7,0,5,90,1,4
1941,W,33,9,7,6,1,0,4,4,1,7,0,5,88,1,4
1942,W,34,10,8,6,1,0,4,4,1,7,0,5,86,1,4
1943,W,35,10,8,6,1,0,4,4,1,7,1,5,84,1,4
1944,D,36,11,8,6,1,0,4,4,1,7,1,5,82,1,4
1945,BN,36,12,8,6,1,0,4,4,2,7,1,5,80,1,4
1946,BN,37,12,8,6,1,0,4,4,2,7,1,5,78,1,4
1947,D,38,13,9,6,1,0,4,4,2,7,1,5,76,1,4
1948,BN,39,13,9,6,1,0,4,4,2,7,1,6,74,1,4
1949,D,44,13,9,7,1,0,4,3,3,7,0,5,67,1,4
1950,BN,50,13,9,8,1,0,4,3,4,7,0,5,60,1,4
1951,AN,50,13,9,8,1,0,4,3,4,7,0,5,60,1,4
1952,W,50,13,9,8,1,0,4,3,4,7,0,5,60,1,4
1953,W,50,13,9,8,1,0,4,3,4,7,0,5,60,1,4
1954,AN,50,13,9,8,1,0,4,3,4,7,0,5,60,1,4
1955,D,50,13,9,8,1,0,4,3,4,7,0,6,57,1,6
1956,W,50,13,9,8,1,0,4,3,4,7,0,6,57,1,6
1957,AN,50,13,9,8,1,0,4,4,4,7,0,6,57,1,6
1958,W,50,13,8,8,1,0,3,4,5,7,0,6,57,1,6
1959,BN,50,13,8,8,1,0,3,4,5,7,0,6,57,1,6
1960,D,50,13,8,8,1,0,3,5,5,7,0,7,56,1,6
1961,D,50,13,7,8,2,0,3,5,5,7,0,7,56,1,6
1962,BN,51,13,7,8,2,0,3,5,5,7,0,7,54,1,6
1963,W,53,13,7,9,2,0,3,5,5,7,0,7,52,1,6
1964,D,54,13,7,10,2,0,3,5,5,7,0,6,51,1,6
1965,W,56,13,7,10,2,0,3,5,5,7,0,6,49,1,6
1966,BN,57,12,7,10,2,0,3,5,6,7,0,6,48,1,6
1967,W,59,12,7,10,2,0,3,4,6,7,0,6,47,1,6
1968,BN,60,12,7,10,2,0,3,4,6,7,0,6,46,1,5
1969,W,62,11,7,10,2,1,2,4,6,7,0,6,44,1,5
1970,W,64,11,7,11,2,1,0,4,6,7,0,6,45,1,5
1971,W,65,11,7,11,2,1,0,4,6,7,0,5,43,1,5
1972,BN,67,11,7,11,2,1,0,4,6,7,0,5,41,1,5
1973,AN,68,11,7,12,2,2,0,4,6,7,0,5,39,1,5
1974,W,69,10,7,12,3,5,0,4,6,7,0,6,35,0,5
1975,W,73,9,6,14,3,5,0,4,6,6,0,5,33,0,5
1976,C,76,8,5,15,4,5,0,3,6,6,0,5,30,0,4
1977,C,76,8,7,15,3,6,0,3,7,5,0,5,30,0,5
1978,AN,79,8,5,17,3,6,1,3,7,5,0,5,27,0,4
1979,BN,80,8,5,17,3,6,1,3,7,5,0,5,27,0,4
1980,AN,79,7,5,16,3,7,1,3,6,6,0,5,28,0,4
1981,D,83,7,5,16,3,7,1,3,6,6,0,4,23,0,4
1982,W,86,7,5,18,2,6,2,3,6,6,0,4,21,0,4
1983,W,86,6,5,13,2,5,1,2,6,6,0,3,30,0,3
1984,W,87,6,6,16,3,5,1,3,6,5,1,4,23,0,3
1985,D,87,6,6,14,3,7,1,3,6,5,1,4,23,0,3
1986,W,87,6,6,11,2,7,1,3,6,5,1,3,28,0,3
1987,D,87,6,7,9,3,7,1,3,5,5,1,3,30,0,3
1988,C,87,5,8,9,2,8,1,3,5,5,1,3,29,0,3
1989,D,88,5,8,10,2,10,1,3,6,5,1,3,26,0,3
1990,C,88,5,8,11,2,10,1,3,6,5,1,3,25,0,3
1991,C,92,5,8,11,2,10,1,3,6,5,1,3,22,0,3
1992,C,95,5,8,11,2,10,1,3,6,5,1,3,19,0,3
1993,AN,98,5,8,12,2,7,1,3,6,5,1,2,18,0,2
1994,C,102,5,8,11,2,10,1,3,6,5,1,2,14,0,2
1995,W,104,6,8,20,1,4,0,0,5,5,1,2,12,0,2
1996,W,107,5,7,19,0,6,0,1,5,4,1,2,11,0,1
1997,W,110,5,8,22,0,4,0,0,4,4,1,1,7,0,1
1998,W,113,6,8,19,0,3,0,0,5,4,2,1,7,0,1
1999,W,115,6,8,19,0,5,1,3,6,4,2,0,1,0,0
2000,AN,118,6,7,19,0,4,1,2,6,4,2,0,0,0,0
2001,D,121,5,7,18,0,5,1,2,5,4,2,0,0,0,0
2002,D,124,5,7,17,0,5,1,2,4,4,2,0,0,0,0
2003,AN,126,5,6,16,0,3,1,2,5,3,2,0,0,0,0
2004,BN,102,0,0,0,0,0,0,0,0,0,12,7,46,0,0 
2005,AN,102,0,0,0,0,0,0,0,0,0,12,7,46,0,0 
2006,W,102,0,0,0,0,0,0,0,0,0,12,7,46,0,0 
2007,D,102,0,0,0,0,0,0,0,0,0,12,7,46,0,0 
2008,C,102,0,0,0,0,0,0,0,0,0,27,7,30,0,0
2009,D,102,0,0,0,0,0,0,0,0,0,43,7,15,0,0
2010,BN,102,0,0,0,0,0,0,0,0,0,43,7,15,0,0
2011,W,102,0,0,0,0,0,0,0,0,0,43,7,15,0,0
2012,BN,110,0,0,0,0,0,0,0,0,0,43,1,13,0,0
2013,D,110,0,0,0,0,0,0,0,0,0,43,1,13,0,0
2014,C,110,0,0,0,0,0,0,0,0,0,43,1,13,0,0
2015,C,110,0,0,0,0,0,0,0,0,0,43,1,13,0,0
2016,BN,110,0,0,0,0,0,0,0,0,0,42,1,14,0,0
2017,W,110,0,0,0,0,0,0,0,0,0,43,2,13,0,0
2018,BN,110,0,0,0,0,0,0,0,0,0,43,2,13,0,0
2019,W,110,0,0,0,0,0,0,0,0,0,43,2,13,0,0
2020,AN,110,0,0,0,0,0,0,0,0,0,43,2,13,0,0
