DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,5,1,3,9,1,7,0,14,0,2,0,33,165,0,131
1923,BN,5,1,3,9,1,7,0,12,0,2,0,30,183,0,118
1924,C,5,0,4,8,1,9,0,11,0,2,0,29,187,0,115
1925,D,5,1,3,7,1,8,0,11,0,2,0,26,204,0,103
1926,D,5,1,3,9,1,7,0,12,0,2,0,28,190,0,113
1927,W,5,0,3,9,1,7,0,11,0,2,0,28,195,0,110
1928,AN,5,1,3,10,1,7,0,12,0,2,0,30,182,0,119
1929,C,5,0,3,9,1,7,0,13,0,2,0,31,177,0,123
1930,D,5,1,3,10,2,7,0,14,0,2,0,38,138,0,151
1931,C,5,2,3,10,2,6,0,13,0,1,0,35,155,0,139
1932,D,5,2,3,9,2,6,0,13,0,1,0,34,158,0,137
1933,C,5,2,3,9,2,7,0,13,0,1,0,34,160,0,135
1934,C,5,2,3,8,2,7,0,13,0,1,0,33,163,0,133
1935,BN,5,2,3,8,2,7,0,13,0,1,0,33,166,0,131
1936,BN,5,2,4,7,2,8,0,13,0,1,0,33,168,0,129
1937,BN,5,2,4,7,2,8,0,13,0,1,0,32,170,0,128
1938,W,5,2,4,6,3,8,0,13,0,1,0,32,172,0,126
1939,D,5,2,4,6,2,9,0,13,0,1,0,32,170,0,127
1940,AN,5,2,4,6,2,9,0,13,0,1,0,32,168,0,129
1941,W,5,2,4,6,2,9,0,13,0,1,0,33,166,0,130
1942,W,5,2,4,5,2,9,0,13,0,1,0,33,164,0,132
1943,W,5,3,4,5,2,10,0,13,0,1,0,34,162,0,133
1944,D,5,3,3,5,2,10,0,13,0,1,0,34,160,0,135
1945,BN,5,3,3,5,2,10,0,13,1,1,0,36,148,0,143
1946,BN,5,3,3,5,2,11,0,13,1,1,0,38,141,0,149
1947,D,5,3,3,5,2,11,0,13,1,1,0,39,132,0,156
1948,BN,5,3,3,4,2,11,0,13,2,1,0,41,122,0,163
1949,D,5,3,3,5,2,11,0,12,2,1,0,41,122,0,163
1950,BN,5,3,4,6,2,10,0,12,2,1,0,41,120,0,165
1951,AN,5,3,4,6,2,10,0,12,2,1,0,42,119,0,165
1952,W,5,3,4,7,2,9,0,12,2,1,0,42,117,0,167
1953,W,5,3,4,7,2,8,0,11,2,1,0,42,116,0,168
1954,AN,5,3,4,8,2,8,0,11,3,1,0,43,114,0,169
1955,D,5,3,4,9,2,7,0,11,3,1,0,43,112,0,171
1956,W,5,3,4,9,2,7,0,11,3,1,0,43,112,0,171
1957,AN,5,3,4,9,2,7,0,11,3,1,0,43,111,0,171
1958,W,5,3,4,10,2,7,0,10,3,1,0,43,110,0,173
1959,BN,5,3,4,10,2,7,0,10,3,1,0,44,109,0,173
1960,D,5,3,4,11,2,7,0,10,3,1,0,44,108,0,174
1961,D,5,3,4,11,2,7,0,10,3,1,0,46,99,0,181
1962,BN,5,3,4,11,2,7,0,9,3,1,0,45,102,0,178
1963,W,5,3,4,11,2,7,0,9,3,1,0,44,105,0,176
1964,D,6,3,4,12,2,8,0,9,3,1,0,44,106,0,175
1965,W,6,3,4,12,2,8,0,8,3,1,0,44,109,0,173
1966,BN,6,3,4,12,2,8,0,8,3,1,0,43,110,0,172
1967,W,6,3,4,12,2,8,0,7,3,1,0,43,112,0,170
1968,BN,6,3,4,12,2,8,0,7,3,1,0,42,114,0,168
1969,W,6,3,4,13,2,9,0,6,3,1,0,42,116,0,167
1970,W,7,3,4,13,2,9,0,6,3,1,0,42,116,0,167
1971,W,7,3,4,13,2,9,0,5,3,1,0,42,117,0,166
1972,BN,7,3,4,13,1,9,0,5,3,1,0,41,121,0,163
1973,AN,8,3,4,13,1,9,0,5,3,1,0,41,121,0,163
1974,W,8,3,4,14,1,9,0,4,2,1,0,41,112,0,170
1975,W,9,2,4,15,2,9,0,4,2,1,0,39,117,0,167
1976,C,10,2,3,15,2,9,0,3,2,1,0,38,121,0,164
1977,C,10,2,4,14,1,10,0,3,3,1,0,40,110,0,172
1978,AN,10,2,3,16,1,10,0,3,3,1,0,42,101,0,179
1979,BN,10,2,3,16,1,9,0,3,3,1,1,40,110,0,172
1980,AN,10,2,3,15,1,8,0,3,3,1,1,35,138,0,151
1981,D,11,2,3,15,1,10,0,3,3,1,1,39,113,0,169
1982,W,11,2,3,16,1,7,0,3,3,1,1,35,139,0,150
1983,W,11,2,3,13,1,6,0,1,2,1,1,23,205,0,101
1984,W,12,2,3,15,2,7,0,3,2,1,1,34,143,0,146
1985,D,12,2,4,13,2,8,0,3,2,1,1,32,154,0,137
1986,W,12,2,4,11,1,8,0,3,2,1,1,28,178,0,120
1987,D,12,2,4,10,2,8,0,3,2,1,1,27,180,0,119
1988,C,12,2,4,10,2,8,0,4,2,1,1,28,174,0,123
1989,D,12,2,4,10,2,10,0,4,3,1,1,33,149,0,141
1990,C,12,2,4,11,2,10,0,4,3,1,1,36,129,0,156
1991,C,13,2,4,11,2,10,0,4,3,1,1,36,128,0,157
1992,C,13,2,4,11,2,10,0,4,3,1,1,36,126,0,158
1993,AN,14,2,4,11,2,9,0,3,3,1,1,32,151,0,139
1994,C,14,2,4,11,2,10,0,4,3,1,1,37,124,0,159
