DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,22,38,195,539,74,443,0,828,0,114,0,15,76,0,61
1923,BN,22,45,194,546,80,416,0,736,0,119,0,22,137,0,89
1924,C,22,9,223,471,91,525,0,673,0,118,0,24,155,0,96
1925,D,22,45,187,455,71,479,0,662,0,94,0,31,239,0,122
1926,D,22,36,188,559,34,439,0,706,0,130,0,25,168,0,100
1927,W,22,24,189,551,62,431,0,678,0,126,0,27,190,0,107
1928,AN,22,54,193,581,63,409,0,728,0,115,0,22,132,0,87
1929,C,22,24,195,540,91,433,0,781,0,109,0,20,113,0,79
1930,D,22,66,194,618,102,415,0,851,0,106,0,4,14,0,15
1931,C,22,110,194,592,131,370,0,807,0,79,0,11,48,0,43
1932,D,22,110,197,560,134,390,0,803,0,75,0,12,55,0,48
1933,C,22,109,202,529,137,410,0,800,0,69,0,13,63,0,53
1934,C,22,109,206,498,140,430,0,797,0,65,0,14,69,0,57
1935,BN,22,108,210,467,144,449,0,793,0,59,0,15,78,0,61
1936,BN,22,108,216,436,147,470,0,789,0,54,0,16,84,0,65
1937,BN,22,107,220,406,150,490,0,786,0,49,0,17,91,0,68
1938,W,22,107,225,375,153,510,0,783,0,45,0,18,98,0,72
1939,D,22,116,223,365,150,527,0,783,0,45,0,17,91,0,68
1940,AN,22,126,222,354,148,543,0,782,0,44,0,16,85,0,65
1941,W,22,135,219,345,144,560,0,781,0,44,0,16,79,0,62
1942,W,22,145,217,334,141,576,0,780,0,43,0,15,74,0,59
1943,W,22,155,216,324,138,593,0,780,0,43,0,14,67,0,55
1944,D,22,164,213,314,135,609,0,779,0,42,0,13,63,0,53
1945,BN,22,175,212,303,132,626,1,779,41,41,0,8,34,0,33
1946,BN,22,185,209,294,129,642,1,778,63,41,0,5,19,0,20
1947,D,22,195,209,285,126,659,1,778,83,40,0,1,4,0,5
1948,BN,22,202,205,272,122,670,1,771,103,40,0,0,0,0,0
1949,D,22,201,210,308,122,638,1,754,112,40,0,0,0,0,0
1950,BN,22,200,215,344,123,605,1,737,121,39,0,0,0,0,0
1951,AN,22,199,220,378,124,573,1,722,131,38,0,0,0,0,0
1952,W,22,197,226,413,124,540,1,705,140,38,0,0,0,0,0
1953,W,22,196,232,448,125,508,1,690,149,37,0,0,0,0,0
1954,AN,22,195,237,483,125,475,2,674,158,37,0,0,0,0,0
1955,D,22,194,243,516,126,443,2,658,167,36,1,0,0,0,0
1956,W,22,187,243,539,128,435,2,645,168,38,1,0,0,0,0
1957,AN,22,180,242,561,131,427,1,634,170,39,1,0,0,0,0
1958,W,22,173,240,582,133,418,1,623,172,41,1,0,0,0,0
1959,BN,22,166,240,605,136,410,1,612,173,43,0,0,0,0,0
1960,D,22,160,239,626,138,402,1,601,175,44,0,0,0,0,0
1961,D,22,150,236,642,139,411,1,584,176,46,0,0,0,0,0
