DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,4,59,302,836,115,687,0,1284,0,177,0,45,223,0,177
1923,BN,4,70,301,846,125,645,0,1140,0,185,0,53,328,0,212
1924,C,4,14,346,730,141,814,0,1043,0,183,0,56,358,0,221
1925,D,4,70,290,705,110,743,0,1027,0,145,0,64,498,0,253
1926,D,4,56,291,866,52,681,0,1095,0,201,0,57,380,0,226
1927,W,4,37,293,854,96,668,0,1051,0,195,0,59,417,0,235
1928,AN,4,84,299,901,97,634,0,1129,0,179,0,53,320,0,210
1929,C,4,37,302,838,141,671,0,1211,0,169,0,50,287,0,200
1930,D,4,102,300,958,159,643,0,1319,0,164,0,30,109,0,120
1931,C,4,170,300,917,204,573,0,1251,0,123,0,39,173,0,155
1932,D,4,170,306,869,208,605,0,1245,0,116,0,41,186,0,161
1933,C,4,168,313,821,213,635,0,1241,0,107,0,42,199,0,167
1934,C,4,168,320,772,218,666,0,1235,0,100,0,43,211,0,172
1935,BN,4,167,326,724,223,696,0,1229,0,92,0,45,226,0,178
1936,BN,4,167,334,676,228,729,0,1224,0,83,0,46,237,0,182
1937,BN,4,166,341,629,233,760,0,1219,0,76,0,47,249,0,186
1938,W,4,166,348,581,238,791,0,1213,0,70,0,48,260,0,191
1939,D,4,180,346,565,233,817,0,1213,0,69,0,47,249,0,187
1940,AN,4,195,344,550,229,842,0,1212,0,68,0,46,238,0,183
1941,W,4,209,340,535,224,868,0,1211,0,68,0,45,227,0,178
1942,W,4,225,336,518,218,893,0,1210,0,67,0,44,219,0,175
1943,W,4,240,334,503,214,919,0,1208,0,67,0,43,207,0,170
1944,D,4,254,331,487,209,944,0,1207,0,65,0,42,199,0,167
1945,BN,4,271,328,470,205,970,1,1207,64,64,0,36,147,0,142
1946,BN,4,286,325,456,200,996,1,1206,97,63,0,32,118,0,126
1947,D,4,302,324,441,195,1021,1,1206,129,62,0,27,90,0,107
1948,BN,4,316,320,425,191,1048,1,1205,162,62,0,22,66,0,88
1949,D,4,315,328,482,191,998,1,1180,176,62,0,22,65,0,87
1950,BN,4,313,338,539,193,949,1,1156,190,61,0,21,61,0,84
1951,AN,4,312,346,594,194,900,2,1133,205,60,0,20,59,0,81
1952,W,4,310,356,651,196,850,2,1110,220,60,0,19,54,0,77
1953,W,4,309,366,706,197,801,2,1088,235,58,0,19,51,0,74
1954,AN,4,307,374,763,198,751,3,1065,249,58,0,18,48,0,71
1955,D,4,307,385,818,199,702,3,1042,264,57,2,17,43,0,66
1956,W,4,296,385,854,203,689,3,1022,267,60,2,17,43,0,66
1957,AN,4,285,383,889,207,677,2,1006,270,62,2,16,42,0,64
1958,W,4,275,382,925,211,665,2,990,273,65,2,15,39,0,61
1959,BN,4,264,381,962,216,652,2,974,275,68,0,15,38,0,60
1960,D,4,254,380,997,219,640,1,956,279,70,0,15,36,0,58
1961,D,4,242,380,1033,224,661,1,940,283,74,0,10,21,0,38
1962,BN,4,242,379,1053,216,681,1,894,278,76,0,12,27,0,47
1963,W,4,242,378,1073,208,700,1,852,274,79,0,14,32,0,54
1964,D,4,242,376,1093,200,721,1,811,272,80,2,15,36,0,58
1965,W,4,242,376,1112,192,740,1,769,268,82,3,16,40,0,64
1966,BN,4,242,375,1133,184,760,1,726,264,85,5,17,44,0,69
1967,W,5,242,375,1152,176,781,1,685,261,87,6,18,48,0,73
1968,BN,5,240,374,1171,168,801,1,643,257,89,6,20,54,0,80
1969,W,5,240,374,1191,159,821,1,601,254,90,8,21,59,0,85
1970,W,5,240,373,1210,152,841,1,560,250,93,11,22,62,0,89
1971,W,5,240,372,1229,143,862,1,517,247,95,15,24,66,0,94
1972,BN,6,240,370,1248,135,862,1,475,243,98,23,26,78,0,104
1973,AN,6,240,369,1269,127,881,1,434,239,100,32,27,79,0,106
1974,W,6,240,368,1293,119,899,1,392,237,102,42,27,73,0,111
1975,W,7,227,346,1374,145,859,0,338,230,102,42,29,87,0,124
1976,C,7,213,324,1452,171,820,0,281,224,102,43,32,101,0,138
1977,C,7,230,386,1361,108,932,0,253,268,102,43,27,74,0,117
1978,AN,8,208,317,1471,107,906,0,294,268,101,45,24,58,0,103
1979,BN,8,206,297,1487,110,886,0,278,259,101,48,29,79,0,123
1980,AN,8,223,307,1381,130,791,1,282,246,105,49,42,164,0,180
1981,D,8,215,306,1385,134,910,1,289,248,105,51,32,91,0,136
1982,W,8,204,294,1535,85,670,1,290,256,107,52,44,175,0,189
1983,W,9,195,304,1220,102,570,1,90,236,107,56,72,636,0,313
1984,W,9,185,329,1414,146,658,1,319,237,106,59,47,199,0,202
1985,D,9,178,348,1235,160,727,1,323,230,107,63,52,252,0,224
1986,W,9,177,361,1007,137,762,0,324,225,107,66,62,402,0,269
1987,D,9,176,390,940,163,766,0,328,213,108,69,63,412,0,272
1988,C,9,176,410,915,177,793,0,333,219,108,74,61,372,0,262
1989,D,9,170,409,962,157,926,0,334,250,112,79,51,232,0,219
1990,C,9,164,409,1066,153,942,0,335,259,114,83,42,150,0,181
1991,C,10,164,409,1066,153,942,0,335,259,114,83,42,149,0,182
1992,C,10,164,409,1066,153,942,0,335,259,114,83,42,147,0,183
1993,AN,10,169,411,1074,166,807,0,304,244,110,76,54,252,0,232
1994,C,11,164,409,1066,153,942,0,335,259,114,83,43,144,0,185
1995,W,11,201,403,1624,60,323,0,412,276,110,110,44,148,0,188
1996,W,11,126,413,1597,29,463,0,340,289,104,188,41,129,0,179
1997,W,11,189,405,1707,27,338,0,293,267,101,240,40,118,0,173
1998,W,11,229,449,1593,20,237,0,338,295,95,270,43,141,0,187
1999,W,11,249,452,1542,27,372,0,328,268,102,259,37,100,0,162
2000,AN,12,222,415,1492,34,356,0,306,254,113,321,45,148,0,193
2001,D,12,196,456,1434,0,479,0,305,215,112,339,43,133,0,185
2002,D,12,196,456,1434,0,479,0,305,215,112,339,43,132,0,186
2003,AN,12,222,415,1492,34,356,0,306,254,113,321,45,145,0,194
2004,BN,32,0,0,3183,0,220,0,0,0,0,0,23,269,0,180 
2005,AN,32,0,0,3183,0,220,0,0,0,0,0,23,269,0,180 
2006,W,32,0,0,3183,0,220,0,0,0,0,0,23,269,0,180 
2007,D,32,0,0,3183,0,220,0,0,0,0,0,23,269,0,180 
2008,C,28,0,102,3078,0,204,0,0,0,0,12,23,277,0,180
2009,D,24,0,205,2973,0,188,0,0,0,0,25,24,286,0,180
2010,BN,24,0,205,2973,0,188,0,0,0,0,25,24,286,0,180
2011,W,24,0,205,2973,0,188,0,0,0,0,25,24,286,0,180
2012,BN,0,232,84,2624,0,0,0,201,0,0,0,86,498,0,181
2013,D,0,232,84,2624,0,0,0,201,0,0,0,86,498,0,181
2014,C,0,232,84,2624,0,0,0,201,0,0,0,86,498,0,181
2015,C,0,232,84,2624,0,0,0,201,0,0,0,86,498,0,181
2016,W,0,232,84,2624,0,0,0,201,0,0,0,86,498,0,181
