DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,1,2,9,24,3,20,0,37,0,5,0,13,63,0,50
1923,BN,1,2,9,24,4,19,0,33,0,5,0,12,72,0,46
1924,C,1,0,10,21,4,24,0,30,0,5,0,11,74,0,46
1925,D,1,2,8,20,3,21,0,30,0,4,0,11,83,0,42
1926,D,1,2,8,25,2,20,0,32,0,6,0,11,76,0,45
1927,W,1,1,8,25,3,19,0,30,0,6,0,11,78,0,44
1928,AN,1,2,9,26,3,18,0,33,0,5,0,12,71,0,47
1929,C,1,1,9,24,4,19,0,35,0,5,0,12,69,0,48
1930,D,1,3,9,28,5,19,0,38,0,5,0,14,51,0,56
1931,C,1,5,9,27,6,17,0,36,0,4,0,13,58,0,52
1932,D,1,5,9,25,6,17,0,36,0,3,0,13,59,0,52
1933,C,1,5,9,24,6,18,0,36,0,3,0,13,61,0,51
1934,C,1,5,9,22,6,19,0,36,0,3,0,13,62,0,50
1935,BN,1,5,9,21,6,20,0,36,0,3,0,13,63,0,50
1936,BN,1,5,10,20,7,21,0,35,0,2,0,12,64,0,49
1937,BN,1,5,10,18,7,22,0,35,0,2,0,12,65,0,49
1938,W,1,5,10,17,7,23,0,35,0,2,0,12,66,0,49
1939,D,1,5,10,16,7,24,0,35,0,2,0,12,65,0,49
1940,AN,1,6,10,16,7,24,0,35,0,2,0,12,64,0,49
1941,W,1,6,10,15,6,25,0,35,0,2,0,13,63,0,50
1942,W,1,7,10,15,6,26,0,35,0,2,0,13,63,0,50
1943,W,1,7,10,15,6,27,0,35,0,2,0,13,62,0,51
1944,D,1,7,10,14,6,27,0,35,0,2,0,13,61,0,51
1945,BN,1,8,9,14,6,28,0,35,2,2,0,13,55,0,53
1946,BN,1,8,9,13,6,29,0,35,3,2,0,14,52,0,55
1947,D,1,9,9,13,6,30,0,35,4,2,0,14,48,0,57
1948,BN,1,9,9,12,6,30,0,35,5,2,0,15,44,0,59
1949,D,1,9,9,14,6,29,0,34,5,2,0,15,44,0,59
1950,BN,1,9,10,16,6,27,0,33,6,2,0,15,43,0,59
1951,AN,1,9,10,17,6,26,0,33,6,2,0,15,43,0,59
1952,W,1,9,10,19,6,25,0,32,6,2,0,15,42,0,60
1953,W,1,9,11,20,6,23,0,31,7,2,0,15,41,0,60
1954,AN,1,9,11,22,6,22,0,31,7,2,0,15,41,0,60
1955,D,1,9,11,24,6,20,0,30,8,2,0,15,40,0,61
1956,W,1,9,11,25,6,20,0,30,8,2,0,15,40,0,61
1957,AN,1,8,11,26,6,20,0,29,8,2,0,15,40,0,61
1958,W,1,8,11,27,6,19,0,29,8,2,0,15,39,0,62
1959,BN,1,8,11,28,6,19,0,28,8,2,0,16,39,0,62
1960,D,1,7,11,29,6,19,0,28,8,2,0,16,39,0,62
1961,D,1,7,11,30,6,19,0,27,8,2,0,16,35,0,64
1962,BN,1,7,11,30,6,20,0,26,8,2,0,16,36,0,63
1963,W,1,7,11,31,6,20,0,25,8,2,0,16,37,0,63
1964,D,1,7,11,32,6,21,0,23,8,2,0,16,38,0,62
1965,W,1,7,11,32,6,21,0,22,8,2,0,16,39,0,62
1966,BN,1,7,11,33,5,22,0,21,8,2,0,15,39,0,61
1967,W,1,7,11,33,5,23,0,20,8,3,0,15,40,0,61
1968,BN,1,7,11,34,5,23,0,19,7,3,0,15,41,0,61
1969,W,1,7,11,34,5,24,0,17,7,3,0,15,42,0,60
1970,W,1,7,11,35,4,24,0,16,7,3,0,15,42,0,60
1971,W,1,7,11,36,4,25,0,15,7,3,0,15,42,0,60
1972,BN,2,7,11,36,4,25,0,14,7,3,1,15,44,0,59
1973,AN,2,7,11,37,4,25,0,13,7,3,1,15,44,0,59
1974,W,2,7,11,37,3,26,0,11,7,3,1,15,41,0,62
1975,W,2,7,10,40,4,25,0,10,7,3,1,14,43,0,61
1976,C,2,6,9,42,5,24,0,8,6,3,1,14,45,0,61
1977,C,2,7,11,39,3,27,0,7,8,3,1,15,40,0,63
1978,AN,2,6,9,43,3,26,0,8,8,3,1,15,37,0,65
1979,BN,2,6,9,43,3,26,0,8,7,3,1,15,41,0,63
1980,AN,2,6,9,40,4,23,0,8,7,3,1,13,52,0,57
1981,D,2,6,9,40,4,26,0,8,7,3,1,15,42,0,63
1982,W,2,6,9,44,2,19,0,8,7,3,2,13,53,0,57
1983,W,2,6,9,35,3,17,0,3,7,3,2,10,88,0,43
1984,W,2,5,10,41,4,19,0,9,7,3,2,13,55,0,56
1985,D,2,5,10,36,5,21,0,9,7,3,2,12,60,0,54
1986,W,2,5,10,29,4,22,0,9,6,3,2,11,73,0,49
1987,D,2,5,11,27,5,22,0,10,6,3,2,11,73,0,48
1988,C,2,5,12,26,5,23,0,10,6,3,2,11,70,0,50
1989,D,3,5,12,28,5,27,0,10,7,3,2,13,58,0,55
1990,C,3,5,12,31,4,27,0,10,7,3,2,14,49,0,59
1991,C,3,5,12,31,4,27,0,10,7,3,2,14,49,0,60
1992,C,3,5,12,31,4,27,0,10,7,3,2,14,48,0,60
1993,AN,3,5,12,31,5,23,0,9,7,3,2,13,60,0,55
1994,C,3,5,12,31,4,27,0,10,7,3,2,14,47,0,61
1995,W,3,6,12,47,2,9,0,12,8,3,3,14,48,0,61
1996,W,3,4,12,46,1,13,0,10,8,3,5,14,45,0,62
1997,W,3,5,12,49,1,10,0,8,8,3,7,15,43,0,63
1998,W,3,7,13,46,1,7,0,10,9,3,8,14,46,0,61
1999,W,3,7,13,45,1,11,0,9,8,3,7,15,40,0,65
2000,AN,3,6,12,43,1,10,0,9,7,3,9,14,47,0,61
2001,D,3,6,13,42,0,14,0,9,6,3,10,14,45,0,62
2002,D,3,6,13,42,0,14,0,9,6,3,10,14,44,0,62
2003,AN,3,6,12,43,1,10,0,9,7,3,9,14,46,0,62
2004,BN,0,95,0,0,0,0,0,0,0,0,0,47,71,0,13 
2005,AN,0,95,0,0,0,0,0,0,0,0,0,47,71,0,13 
2006,W,0,95,0,0,0,0,0,0,0,0,0,47,71,0,13 
2007,D,0,95,0,0,0,0,0,0,0,0,0,47,71,0,13 
2008,C,0,95,0,0,0,0,0,0,0,0,0,47,71,0,12
2009,D,0,95,0,0,0,0,0,0,0,0,0,47,71,0,12
2010,BN,0,95,0,0,0,0,0,0,0,0,0,47,71,0,12
2011,W,0,95,0,0,0,0,0,0,0,0,0,47,71,0,12
2012,BN,0,102,0,0,0,0,0,0,0,0,0,36,75,0,12
2013,D,0,102,0,0,0,0,0,0,0,0,0,36,75,0,12
2014,C,0,102,0,0,0,0,0,0,0,0,0,36,75,0,12
2015,C,0,102,0,0,0,0,0,0,0,0,0,36,75,0,12
2016,BN,0,96,0,0,0,0,0,0,0,0,0,35,80,0,14
2017,W,0,96,0,0,0,0,0,0,0,0,0,32,81,0,15
2018,BN,0,96,0,0,0,0,0,0,0,0,0,32,81,0,15
