DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,34,99,74,69,10,0,50,89,0,83,0,20,424,12,15
1923,BN,35,99,75,69,10,0,50,89,0,85,1,20,419,12,15
1924,C,35,99,75,70,10,0,52,90,0,87,2,20,411,12,15
1925,D,36,99,76,71,10,0,56,91,0,89,3,19,402,12,15
1926,D,36,99,77,72,10,0,56,92,0,92,4,19,394,12,14
1927,W,37,99,78,73,11,0,57,92,0,94,6,19,386,12,14
1928,AN,37,99,79,73,11,0,59,93,0,97,7,19,378,12,14
1929,C,38,99,80,75,11,0,61,93,0,99,8,19,370,12,14
1930,D,38,100,82,75,12,0,61,91,0,99,8,19,367,12,14
1931,C,38,100,84,76,13,0,61,88,0,99,8,19,365,12,14
1932,D,38,101,86,76,14,0,61,84,0,99,8,19,365,12,14
1933,C,38,102,87,77,15,0,61,81,0,99,8,19,364,12,14
1934,C,38,103,90,78,17,0,61,77,0,99,7,19,363,12,14
1935,BN,38,104,92,79,17,0,61,74,0,99,7,19,362,12,14
1936,BN,38,104,94,80,19,0,61,71,0,99,7,19,360,12,14
1937,BN,38,105,96,80,20,0,61,67,0,99,7,19,359,12,14
1938,W,38,106,98,81,21,0,61,64,0,99,7,19,358,12,14
1939,D,39,115,101,81,20,0,61,63,3,99,7,18,343,12,14
1940,AN,40,125,105,82,20,0,61,61,7,99,7,18,328,12,14
1941,W,41,134,108,82,19,0,61,60,11,99,7,18,312,12,13
1942,W,42,143,112,83,18,0,61,59,15,99,7,18,296,12,13
1943,W,43,153,115,84,18,0,61,58,17,99,8,17,280,12,13
1944,D,44,163,119,84,17,0,61,57,21,99,8,17,264,12,13
1945,BN,45,172,122,85,17,0,61,56,26,99,8,16,247,12,12
1946,BN,46,181,125,86,16,0,61,55,28,99,8,16,233,12,12
1947,D,47,191,129,86,15,0,61,53,32,99,8,15,217,12,12
1948,BN,48,200,133,87,14,0,61,53,36,99,8,15,201,12,11
1949,D,55,200,136,106,14,0,61,47,48,99,7,14,168,12,10
1950,BN,61,200,139,124,14,0,61,43,60,98,7,12,136,12,9
1951,AN,61,200,139,124,14,0,61,43,60,98,7,13,137,12,9
1952,W,61,199,138,124,14,0,61,43,60,98,7,13,138,12,9
1953,W,61,199,138,124,14,0,61,43,60,98,7,13,139,12,9
1954,AN,61,198,137,124,14,0,61,43,59,98,7,13,140,12,9
1955,D,61,198,137,123,14,0,61,43,59,98,7,15,135,12,14
1956,W,61,198,133,123,16,0,57,48,61,99,7,15,134,12,14
1957,AN,61,198,128,122,17,0,54,53,64,99,6,15,134,12,14
1958,W,61,198,123,122,18,0,50,58,67,100,4,15,134,12,14
1959,BN,61,198,118,122,20,0,50,64,70,101,3,15,129,12,14
1960,D,61,199,113,122,21,0,49,70,72,102,3,15,125,12,13
1961,D,61,199,108,121,23,0,47,75,75,103,3,14,121,13,13
1962,BN,63,195,107,126,24,0,47,73,77,103,3,14,119,13,13
1963,W,65,195,106,140,26,0,47,70,77,104,3,13,106,13,12
1964,D,67,190,106,143,27,0,47,69,80,104,3,13,104,13,12
1965,W,69,187,105,146,28,0,47,68,81,104,3,13,102,13,12
1966,BN,71,181,104,149,28,0,47,67,83,105,3,13,102,13,12
1967,W,73,180,104,150,29,0,47,66,83,105,3,13,99,13,12
1968,BN,75,174,104,152,30,0,47,65,84,105,3,13,100,13,12
1969,W,77,171,103,156,31,11,33,64,86,105,3,13,100,13,12
1970,W,79,168,101,159,32,19,5,64,88,106,3,14,113,13,13
1971,W,81,164,100,163,33,19,5,64,90,106,3,14,110,11,13
1972,BN,83,161,99,168,35,20,5,63,91,107,3,14,105,11,12
1973,AN,85,158,98,172,36,31,5,62,93,107,3,13,94,8,12
1974,W,86,152,97,176,38,72,5,62,95,107,2,10,64,1,9
1975,W,90,136,86,202,52,76,5,55,95,95,3,10,62,1,9
1976,C,94,120,74,227,66,80,7,47,95,82,3,10,61,1,9
1977,C,94,116,98,218,48,84,5,47,105,81,3,9,57,1,9
1978,AN,98,112,72,256,41,87,9,48,101,80,3,9,50,1,8
1979,BN,99,113,68,255,42,89,10,46,97,80,3,9,55,2,9
1980,AN,98,108,75,231,44,97,14,49,91,82,6,10,62,2,9
1981,D,102,102,74,241,46,110,19,49,90,82,7,7,39,2,7
1982,W,107,98,72,273,30,84,23,50,93,83,7,8,42,2,7
1983,W,107,94,78,199,32,69,12,26,91,82,7,17,146,2,15
1984,W,108,90,83,237,41,82,21,49,89,81,8,11,67,2,10
1985,D,108,88,89,209,41,104,17,47,87,79,8,12,76,2,11
1986,W,108,86,96,166,32,108,14,48,83,77,8,15,121,2,14
1987,D,108,82,104,139,37,108,12,47,82,75,8,16,142,2,15
1988,C,108,80,112,131,36,112,16,46,80,74,8,16,142,2,15
1989,D,109,75,113,150,29,142,14,45,86,75,8,14,104,2,13
1990,C,109,69,114,161,27,142,12,44,90,75,8,14,98,2,12
1991,C,114,69,114,161,27,142,12,44,90,75,8,13,94,2,12
1992,C,118,69,114,161,27,142,12,44,90,75,8,13,90,2,12
1993,AN,122,75,114,172,34,109,12,40,91,68,9,14,102,2,13
1994,C,126,69,114,161,27,142,12,44,90,75,8,13,83,2,12
1995,W,129,89,113,296,12,58,0,7,78,73,12,13,84,2,12
1996,W,133,80,104,280,6,84,0,12,75,64,19,14,92,2,12
1997,W,136,81,116,322,6,62,0,7,65,67,21,12,69,2,11
1998,W,140,85,119,290,5,50,0,7,68,65,28,14,94,2,13
1999,W,143,91,115,286,5,70,8,38,88,61,22,7,33,2,7
2000,AN,146,86,102,279,6,59,13,35,89,62,31,10,50,2,9
2001,D,150,74,108,279,0,77,10,36,71,62,33,10,56,2,9
2002,D,153,74,108,279,0,77,10,36,71,62,33,10,53,2,9
2003,AN,157,86,102,279,6,59,13,35,89,62,31,9,41,2,8
2004,BN,116,70,245,237,0,185,0,0,79,1,0,18,144,0,25 
2005,AN,116,70,245,237,0,185,0,0,79,1,0,18,144,0,25 
2006,W,116,70,245,237,0,185,0,0,79,1,0,18,144,0,25 
2007,D,116,70,245,237,0,185,0,0,79,1,0,18,144,0,25 
2008,C,116,70,184,126,0,200,0,0,96,5,5,18,198,0,25
