DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,6,20,104,289,40,237,0,443,0,61,0,27,137,0,108
1923,BN,6,24,104,292,43,222,0,393,0,64,0,29,179,0,116
1924,C,6,5,119,252,49,281,0,360,0,63,0,30,191,0,118
1925,D,6,24,100,243,38,256,0,354,0,50,0,31,245,0,124
1926,D,6,19,100,299,18,235,0,378,0,69,0,30,199,0,119
1927,W,6,13,101,295,33,230,0,363,0,67,0,30,214,0,121
1928,AN,6,29,103,311,33,219,0,389,0,62,0,29,176,0,115
1929,C,6,13,104,289,49,231,0,418,0,58,0,29,163,0,113
1930,D,6,35,104,331,55,222,0,455,0,57,0,24,88,0,97
1931,C,6,59,104,316,70,198,0,432,0,42,0,26,116,0,104
1932,D,6,59,106,300,72,209,0,430,0,40,0,26,121,0,105
1933,C,6,58,108,283,73,219,0,428,0,37,0,27,127,0,106
1934,C,6,58,110,267,75,230,0,426,0,35,0,27,132,0,107
1935,BN,6,58,112,250,77,240,0,424,0,32,0,27,138,0,109
1936,BN,6,58,115,233,79,251,0,422,0,29,0,28,142,0,110
1937,BN,6,57,118,217,80,262,0,421,0,26,0,28,147,0,110
1938,W,6,57,120,200,82,273,0,419,0,24,0,28,152,0,111
1939,D,6,62,119,195,80,282,0,419,0,24,0,28,147,0,111
1940,AN,6,67,119,190,79,291,0,418,0,23,0,28,143,0,110
1941,W,6,72,117,185,77,299,0,418,0,23,0,27,139,0,109
1942,W,6,78,116,179,75,308,0,417,0,23,0,27,135,0,108
1943,W,6,83,115,173,74,317,0,417,0,23,0,27,130,0,107
1944,D,6,88,114,168,72,326,0,417,0,23,0,27,127,0,106
1945,BN,6,93,113,162,71,335,0,417,22,22,0,25,105,0,101
1946,BN,6,99,112,157,69,344,0,416,33,22,0,25,92,0,98
1947,D,6,104,112,152,67,352,0,416,45,21,0,24,79,0,94
1948,BN,6,109,110,147,66,362,0,416,56,21,0,23,67,0,90
1949,D,6,109,113,166,66,344,0,407,61,21,0,23,67,0,90
1950,BN,6,108,116,186,66,327,1,399,66,21,0,22,65,0,89
1951,AN,6,108,119,205,67,310,1,391,71,21,0,22,64,0,89
1952,W,6,107,123,225,67,293,1,383,76,21,0,22,62,0,88
1953,W,6,107,126,244,68,276,1,375,81,20,0,22,60,0,87
1954,AN,6,106,129,263,68,259,1,367,86,20,0,22,58,0,86
1955,D,6,106,133,282,69,242,1,359,91,20,1,21,56,0,85
1956,W,6,102,133,295,70,238,1,353,92,21,1,21,56,0,85
1957,AN,6,98,132,307,72,234,1,347,93,21,1,21,55,0,85
1958,W,6,95,132,319,73,229,1,342,94,23,1,21,53,0,84
1959,BN,6,91,131,332,74,225,1,336,95,23,0,21,53,0,84
1960,D,6,88,131,344,76,221,1,330,96,24,0,21,52,0,84
1961,D,6,83,131,356,77,228,0,324,98,25,0,20,43,0,79
1962,BN,6,83,131,363,75,235,0,308,96,26,0,20,47,0,81
1963,W,6,83,130,370,72,242,0,294,95,27,0,21,49,0,83
1964,D,7,83,130,377,69,249,0,280,94,28,1,21,51,0,84
1965,W,7,83,130,384,66,255,0,265,92,28,1,21,53,0,85
1966,BN,7,83,129,391,64,262,0,251,91,29,2,22,56,0,86
1967,W,7,83,129,397,61,269,0,236,90,30,2,22,57,0,87
1968,BN,7,83,129,404,58,276,0,222,89,31,2,22,60,0,89
1969,W,8,83,129,411,55,283,0,207,88,31,3,23,62,0,90
1970,W,8,83,129,417,52,290,0,193,86,32,4,23,64,0,91
1971,W,8,83,128,424,49,297,0,178,85,33,5,23,65,0,92
1972,BN,9,83,128,431,47,297,0,164,84,34,8,24,71,0,95
1973,AN,9,83,127,438,44,304,0,150,83,35,11,24,71,0,95
1974,W,9,83,127,446,41,310,0,135,82,35,14,24,66,0,100
1975,W,10,78,119,474,50,296,0,117,79,35,14,24,72,0,103
1976,C,11,74,112,501,59,283,0,97,77,35,15,25,78,0,106
1977,C,11,79,133,469,37,322,0,87,92,35,15,24,65,0,102
1978,AN,12,72,109,508,37,313,0,101,92,35,15,23,56,0,99
1979,BN,12,71,102,513,38,306,0,96,89,35,16,24,67,0,104
1980,AN,12,77,106,476,45,273,0,97,85,36,17,27,106,0,116
1981,D,12,74,106,478,46,314,0,100,85,36,18,25,72,0,107
1982,W,13,70,102,530,29,231,0,100,88,37,18,27,109,0,118
1983,W,13,67,105,421,35,197,0,31,81,37,19,33,290,0,143
1984,W,14,64,114,488,50,227,0,110,82,37,20,28,119,0,121
1985,D,14,62,120,426,55,251,0,111,79,37,22,29,141,0,126
1986,W,14,61,125,348,47,263,0,112,77,37,23,31,201,0,134
1987,D,14,61,135,324,56,264,0,113,73,37,24,31,204,0,135
1988,C,14,61,142,316,61,274,0,115,76,37,26,31,189,0,133
1989,D,14,59,141,332,54,319,0,115,86,39,27,29,132,0,125
1990,C,14,57,141,368,53,325,0,116,89,39,29,27,97,0,117
1991,C,15,57,141,368,53,325,0,116,89,39,29,27,96,0,118
1992,C,15,57,141,368,53,325,0,116,89,39,29,27,95,0,118
1993,AN,16,58,142,371,57,278,0,105,84,38,26,30,140,0,128
1994,C,16,57,141,368,53,325,0,116,89,39,29,28,93,0,119
1995,W,17,69,139,560,21,112,0,142,95,38,38,28,94,0,120
1996,W,17,44,142,551,10,160,0,117,100,36,65,27,86,0,118
1997,W,17,65,140,589,9,117,0,101,92,35,83,27,80,0,117
1998,W,17,79,155,550,7,82,0,117,102,33,93,28,91,0,120
1999,W,17,86,156,532,9,128,0,113,92,35,89,27,71,0,116
2000,AN,18,77,143,515,12,123,0,106,88,39,111,28,93,0,122
2001,D,18,68,157,495,0,165,0,105,74,39,117,28,86,0,121
2002,D,18,68,157,495,0,165,0,105,74,39,117,28,86,0,121
2003,AN,18,77,143,515,12,123,0,106,88,39,111,28,92,0,123
2004,BN,18,358,0,217,0,17,0,165,126,0,14,20,453,0,82 
2005,AN,18,358,0,217,0,17,0,165,126,0,14,20,453,0,82 
2006,W,18,358,0,217,0,17,0,165,126,0,14,20,453,0,82 
2007,D,18,358,0,217,0,17,0,165,126,0,14,20,453,0,82 
2008,C,18,359,7,220,0,8,0,165,126,0,14,13,456,0,81
2009,D,18,361,15,223,0,0,0,165,126,0,14,7,459,0,80
2010,BN,18,361,15,223,0,0,0,165,126,0,14,7,459,0,80
2011,W,18,361,15,223,0,0,0,165,126,0,14,7,459,0,80
2012,BN,0,123,6,531,0,0,0,216,148,4,33,80,248,0,79
2013,D,0,123,6,531,0,0,0,216,148,4,33,80,248,0,79
2014,C,0,123,6,531,0,0,0,216,148,4,33,80,248,0,79
2015,C,0,123,6,531,0,0,0,216,148,4,33,80,248,0,79
2016,BN,0,246,0,570,0,0,0,63,33,5,33,76,352,0,89
2017,W,0,240,0,706,0,0,0,85,0,24,26,72,221,0,94
2018,BN,0,240,0,706,0,0,0,85,0,24,26,72,221,0,94
2019,W,0,240,0,706,0,0,0,85,0,24,26,72,221,0,94
2020,AN,0,240,0,706,0,0,0,85,0,24,26,72,221,0,94
