DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,0,0,0,0,0,0,0,0,0,0,0,9,45,0,36
1923,BN,0,0,0,0,0,0,0,0,0,0,0,8,50,0,32
1924,C,0,0,0,0,0,0,0,0,0,0,0,8,51,0,31
1925,D,0,0,0,0,0,0,0,0,0,0,0,7,55,0,28
1926,D,0,0,0,0,0,0,0,0,0,0,0,8,51,0,31
1927,W,0,0,0,0,0,0,0,0,0,0,0,7,53,0,30
1928,AN,0,0,0,0,0,0,0,0,0,0,0,8,49,0,32
1929,C,0,0,0,0,0,0,0,0,0,0,0,8,48,0,33
1930,D,0,0,0,0,0,0,0,0,0,0,0,10,38,0,42
1931,C,0,0,0,0,0,0,0,0,0,0,0,10,42,0,38
1932,D,0,0,0,0,0,0,0,0,0,0,0,9,43,0,37
1933,C,0,0,0,0,0,0,0,0,0,0,0,9,44,0,37
1934,C,0,0,0,0,0,0,0,0,0,0,0,9,44,0,36
1935,BN,0,0,0,0,0,0,0,0,0,0,0,9,45,0,36
1936,BN,0,0,0,0,0,0,0,0,0,0,0,9,46,0,35
1937,BN,0,0,0,0,0,0,0,0,0,0,0,9,46,0,35
1938,W,0,0,0,0,0,0,0,0,0,0,0,9,47,0,34
1939,D,0,0,0,0,0,0,0,0,0,0,0,9,46,0,35
1940,AN,0,0,0,0,0,0,0,0,0,0,0,9,46,0,35
1941,W,0,0,0,0,0,0,0,0,0,0,0,9,45,0,36
1942,W,0,0,0,0,0,0,0,0,0,0,0,9,45,0,36
1943,W,0,0,0,0,0,0,0,0,0,0,0,9,44,0,36
1944,D,0,0,0,0,0,0,0,0,0,0,0,9,44,0,37
1945,BN,0,0,0,0,0,0,0,0,0,0,0,10,41,0,39
1946,BN,0,0,0,0,0,0,0,0,0,0,0,10,39,0,41
1947,D,0,0,0,0,0,0,0,0,0,0,0,11,36,0,43
1948,BN,0,0,0,0,0,0,0,0,0,0,0,11,34,0,45
1949,D,0,0,0,0,0,0,0,0,0,0,0,11,34,0,45
1950,BN,0,0,0,0,0,0,0,0,0,0,0,11,33,0,45
1951,AN,0,0,0,0,0,0,0,0,0,0,0,11,33,0,46
1952,W,0,0,0,0,0,0,0,0,0,0,0,12,32,0,46
1953,W,0,0,0,0,0,0,0,0,0,0,0,12,32,0,46
1954,AN,0,0,0,0,0,0,0,0,0,0,0,12,32,0,47
1955,D,0,0,0,0,0,0,0,0,0,0,0,12,31,0,47
1956,W,0,0,0,0,0,0,0,0,0,0,0,12,31,0,47
1957,AN,0,0,0,0,0,0,0,0,0,0,0,12,31,0,47
1958,W,0,0,0,0,0,0,0,0,0,0,0,12,30,0,48
1959,BN,0,0,0,0,0,0,0,0,0,0,0,12,30,0,48
1960,D,0,0,0,0,0,0,0,0,0,0,0,12,30,0,48
1961,D,0,0,0,0,0,0,0,0,0,0,0,13,27,0,50
1962,BN,0,0,0,0,0,0,0,0,0,0,0,12,28,0,49
1963,W,0,0,0,0,0,0,0,0,0,0,0,12,29,0,49
1964,D,0,0,0,0,0,0,0,0,0,0,0,12,29,0,48
1965,W,0,0,0,0,0,0,0,0,0,0,0,12,30,0,48
1966,BN,0,0,0,0,0,0,0,0,0,0,0,12,31,0,47
1967,W,0,0,0,0,0,0,0,0,0,0,0,12,31,0,47
1968,BN,0,0,0,0,0,0,0,0,0,0,0,12,32,0,47
1969,W,0,0,0,0,0,0,0,0,0,0,0,12,32,0,46
1970,W,0,0,0,0,0,0,0,0,0,0,0,12,32,0,46
1971,W,0,0,0,0,0,0,0,0,0,0,0,12,32,0,46
1972,BN,0,0,0,0,0,0,0,0,0,0,0,11,34,0,45
1973,AN,0,0,0,0,0,0,0,0,0,0,0,11,33,0,45
1974,W,0,0,0,0,0,0,0,0,0,0,0,11,31,0,47
1975,W,0,0,0,0,0,0,0,0,0,0,0,11,33,0,46
1976,C,0,0,0,0,0,0,0,0,0,0,0,11,34,0,46
1977,C,0,0,0,0,0,0,0,0,0,0,0,11,31,0,48
1978,AN,0,0,0,0,0,0,0,0,0,0,0,12,28,0,50
1979,BN,0,0,0,0,0,0,0,0,0,0,0,11,31,0,48
1980,AN,0,0,0,0,0,0,0,0,0,0,0,10,38,0,42
1981,D,0,0,0,0,0,0,0,0,0,0,0,11,32,0,47
1982,W,0,0,0,0,0,0,0,0,0,0,0,10,39,0,42
1983,W,0,0,0,0,0,0,0,0,0,0,0,6,56,0,28
1984,W,0,0,0,0,0,0,0,0,0,0,0,9,40,0,41
1985,D,0,0,0,0,0,0,0,0,0,0,0,9,43,0,38
1986,W,0,0,0,0,0,0,0,0,0,0,0,8,49,0,33
1987,D,0,0,0,0,0,0,0,0,0,0,0,8,50,0,33
1988,C,0,0,0,0,0,0,0,0,0,0,0,8,48,0,34
1989,D,0,0,0,0,0,0,0,0,0,0,0,9,42,0,39
1990,C,0,0,0,0,0,0,0,0,0,0,0,10,36,0,44
1991,C,0,0,0,0,0,0,0,0,0,0,0,10,36,0,44
1992,C,0,0,0,0,0,0,0,0,0,0,0,10,35,0,44
