DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,1,55,42,39,6,0,28,50,0,47,0,11,240,7,8
1923,BN,1,55,42,39,6,0,28,50,0,48,1,11,238,7,8
1924,C,1,55,42,39,6,0,29,51,0,49,1,11,233,7,8
1925,D,1,55,43,40,6,0,31,51,0,50,2,11,228,7,8
1926,D,1,55,43,40,6,0,31,51,0,52,2,11,224,7,8
1927,W,1,55,44,41,6,0,32,52,0,53,3,11,220,7,8
1928,AN,1,55,44,41,6,0,33,52,0,54,4,11,216,7,8
1929,C,1,55,45,42,6,0,34,52,0,56,4,11,212,7,8
1930,D,1,56,46,42,7,0,34,51,0,56,4,11,210,7,8
1931,C,1,56,47,43,7,0,34,50,0,56,4,11,209,7,8
1932,D,1,57,48,43,8,0,34,47,0,56,4,11,209,7,8
1933,C,1,58,49,43,9,0,34,45,0,56,4,11,208,7,8
1934,C,1,58,51,44,9,0,34,43,0,56,4,11,208,7,8
1935,BN,1,58,52,44,10,0,34,41,0,56,4,11,207,7,8
1936,BN,1,59,53,45,10,0,34,40,0,56,4,11,206,7,8
1937,BN,1,59,54,45,11,0,34,38,0,56,4,11,206,7,8
1938,W,1,60,55,46,12,0,34,36,0,56,4,11,205,7,8
1939,D,1,65,57,46,11,0,34,35,2,56,4,11,197,7,8
1940,AN,1,70,59,46,11,0,34,34,4,56,4,10,189,7,8
1941,W,1,75,61,46,11,0,34,34,6,56,4,10,180,7,8
1942,W,1,81,63,47,10,0,34,33,8,56,4,10,172,7,8
1943,W,1,86,65,47,10,0,34,32,10,56,4,10,164,7,8
1944,D,1,91,67,47,10,0,34,32,12,56,4,10,155,7,7
1945,BN,1,97,69,48,9,0,34,31,14,56,4,10,146,7,7
1946,BN,1,102,70,48,9,0,34,31,16,56,4,9,138,7,7
1947,D,1,107,72,48,9,0,34,30,18,56,4,9,130,7,7
1948,BN,1,112,75,49,8,0,34,30,20,56,4,9,121,7,7
1949,D,1,112,77,60,8,0,34,27,27,55,4,9,106,7,7
1950,BN,2,112,78,70,8,0,34,24,34,55,4,8,91,7,6
1951,AN,2,112,78,70,8,0,34,24,34,55,4,8,91,7,6
1952,W,2,112,78,70,8,0,34,24,34,55,4,8,92,7,6
1953,W,2,112,77,69,8,0,34,24,34,55,4,8,92,7,6
1954,AN,2,112,77,69,8,0,34,24,33,55,4,8,93,7,6
1955,D,2,111,77,69,8,0,34,24,33,55,4,10,90,7,9
1956,W,2,111,74,69,9,0,32,27,34,55,4,10,89,7,9
1957,AN,2,111,72,69,10,0,30,30,36,56,3,10,89,7,9
1958,W,2,112,69,69,10,0,28,32,38,56,2,10,89,7,9
1959,BN,2,112,66,68,11,0,28,36,39,57,2,10,86,7,9
1960,D,2,112,64,68,12,0,27,39,41,57,2,10,84,7,9
1961,D,2,112,61,68,13,0,26,42,42,58,2,10,82,7,9
1962,BN,2,109,60,71,13,0,26,41,43,58,2,10,81,7,9
1963,W,2,109,59,79,14,0,26,40,44,58,2,9,75,7,9
1964,D,2,107,59,80,15,0,26,39,45,58,2,9,74,7,9
1965,W,2,105,59,82,16,0,26,38,45,59,2,10,74,7,9
1966,BN,2,102,58,84,16,0,26,38,46,59,2,10,75,7,9
1967,W,2,101,58,84,16,0,26,37,47,59,2,10,74,7,9
1968,BN,2,98,58,85,17,0,26,37,47,59,2,10,75,7,9
1969,W,2,96,58,87,17,6,19,36,48,59,2,10,76,7,9
1970,W,2,94,57,90,18,11,3,36,49,59,2,11,84,7,10
1971,W,2,92,56,92,19,11,3,36,50,60,2,11,84,6,10
1972,BN,2,91,56,94,20,11,3,35,51,60,2,11,82,6,10
1973,AN,2,89,55,97,20,18,3,35,52,60,2,10,76,4,9
1974,W,2,86,55,99,21,41,3,35,53,60,1,9,59,1,8
1975,W,2,76,48,113,29,43,3,31,53,53,2,10,59,1,9
1976,C,2,67,42,127,37,45,4,26,53,46,2,10,61,1,9
1977,C,2,65,55,123,27,47,3,27,59,46,2,10,58,1,9
1978,AN,3,63,41,144,23,49,5,27,57,45,2,10,55,1,9
1979,BN,3,64,38,143,24,50,6,26,54,45,2,10,59,1,9
1980,AN,3,60,42,130,25,55,8,28,51,46,3,10,63,1,9
1981,D,3,58,41,136,26,62,11,28,51,46,4,10,50,1,9
1982,W,3,55,40,154,17,47,13,28,52,47,4,10,53,1,9
1983,W,3,53,44,112,18,39,7,15,51,46,4,13,116,1,12
1984,W,3,51,47,133,23,46,12,28,50,45,4,11,69,1,10
1985,D,3,49,50,117,23,58,10,27,49,44,4,12,75,1,11
1986,W,3,48,54,93,18,61,8,27,46,43,4,13,101,1,12
1987,D,3,46,58,78,21,61,7,26,46,42,4,13,114,1,12
1988,C,3,45,63,74,20,63,9,26,45,41,4,13,114,1,12
1989,D,3,42,64,84,16,80,8,25,48,42,4,12,92,1,11
1990,C,3,39,64,90,15,80,7,25,51,42,4,12,88,1,11
1991,C,3,39,64,90,15,80,7,25,51,42,4,12,88,1,11
1992,C,3,39,64,90,15,80,7,25,51,42,4,13,87,1,12
1993,AN,3,42,64,97,19,61,7,22,51,38,5,13,96,1,12
1994,C,3,39,64,90,15,80,7,25,51,42,4,13,86,1,12
1995,W,3,50,63,167,7,33,0,4,44,41,7,13,88,1,12
1996,W,3,45,59,158,3,47,0,7,42,36,10,14,94,1,13
1997,W,4,46,65,181,3,35,0,4,37,37,12,14,82,1,12
1998,W,4,48,67,163,3,28,0,4,38,36,15,15,99,1,13
1999,W,4,51,64,161,3,39,5,22,49,34,13,13,62,1,12
2000,AN,4,48,57,157,3,33,7,20,50,35,17,14,73,1,13
2001,D,4,42,61,157,0,43,6,20,40,35,19,15,79,1,13
2002,D,4,42,61,157,0,43,6,20,40,35,19,15,78,1,14
2003,AN,4,48,57,157,3,33,7,20,50,35,17,15,72,1,14
2004,BN,1,2,116,149,0,0,0,44,67,0,0,25,77,0,47 
2005,AN,1,2,116,149,0,0,0,44,67,0,0,25,77,0,47 
2006,W,1,2,116,149,0,0,0,44,67,0,0,25,77,0,47 
2007,D,1,2,116,149,0,0,0,44,67,0,0,25,77,0,47 
2008,C,1,2,109,92,0,59,0,44,75,0,0,20,82,0,43
2009,D,1,2,103,35,0,118,0,44,83,0,0,16,87,0,40
2010,BN,1,2,103,35,0,118,0,44,83,0,0,16,87,0,40
2011,W,1,2,103,35,0,118,0,44,83,0,0,16,87,0,40
2012,BN,0,1,83,93,0,0,0,56,37,18,0,46,161,0,34
2013,D,0,1,83,93,0,0,0,56,37,18,0,46,161,0,34
2014,C,0,1,83,93,0,0,0,56,37,18,0,46,161,0,34
2015,C,0,1,83,93,0,0,0,56,37,18,0,46,161,0,34
2016,W,0,1,83,93,0,0,0,56,37,18,0,46,161,0,34
