      1   1016.    611.    512.    334.    201.      0.      0.      0.      0.      0.      0.    319.
      2   6175.   3712.   3114.   2029.   1223.      0.      0.      0.      0.      0.      0.   1939.
      3   8707.   5234.   4390.   2861.   1724.      0.      0.      0.      0.      0.      0.   2734.
      4   2227.   1339.   1123.    732.    441.      0.      0.      0.      0.      0.      0.    699.
      5   1404.    844.    708.    461.    278.      0.      0.      0.      0.      0.      0.    441.
      6      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.
      7   2970.   1785.   1497.    976.    588.      0.      0.      0.      0.      0.      0.    933.
      8      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.
      9   4432.   2704.   2275.   1496.    877.      0.      0.      0.      0.      0.      0.   1392.
     10      0.    227.    227.    227.      0.      0.      0.      0.      0.      0.      0.      0.
     11   3656.   2198.   1843.   1201.    724.      0.      0.      0.      0.      0.      0.   1148.
     12      3.      2.      1.      1.      1.      0.      0.      0.      0.      0.      0.      1.
     13   2356.   1416.   1188.    774.    466.      0.      0.      0.      0.      0.      0.    740.
     14     39.     24.     20.     13.      8.      0.      0.      0.      0.      0.      0.     12.
     15      1.    118.    118.    118.      0.      0.      0.      0.      0.      0.      0.      0.
