DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1922,AN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1923,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1924,C,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1925,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1926,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1927,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1928,AN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1929,C,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1930,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1931,C,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1932,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1933,C,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1934,C,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1935,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1936,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1937,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1938,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1939,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1940,AN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1941,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1942,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1943,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1944,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1945,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1946,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1947,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1948,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1949,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1950,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1951,AN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1952,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1953,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1954,AN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1955,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1956,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1957,AN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1958,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1959,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1960,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1961,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1962,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1963,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1964,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1965,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1966,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1967,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1968,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1969,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1970,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1971,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1972,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1973,AN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1974,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1975,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1976,C,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1977,C,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1978,AN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1979,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1980,AN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1981,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1982,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1983,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1984,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1985,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1986,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1987,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1988,C,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1989,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1990,C,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1991,C,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1992,C,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1993,AN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1994,C,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1995,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1996,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1997,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1998,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
1999,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
2000,AN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
2001,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
2002,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
2003,AN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
2004,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
2005,AN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
2006,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
2007,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
2008,C,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
2009,D,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
2010,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
2011,W,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
2012,BN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,484
