DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W
1992,C,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1993,AN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1994,C,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1995,W,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1996,W,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1997,W,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1998,W,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1999,W,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2000,AN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2001,D,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2002,D,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2003,AN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2004,BN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2005,AN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2006,W,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2007,D,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2008,C,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2009,D,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2010,BN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2011,W,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2012,BN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2013,D,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2014,C,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2015,C,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2016,BN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2017,W,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2018,BN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2019,W,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
2020,AN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
