DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1922,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1923,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1924,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1925,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1926,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1927,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1928,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1929,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1930,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1931,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1932,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1933,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1934,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1935,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1936,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1937,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1938,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1939,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1940,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1941,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1942,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1943,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1944,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1945,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1946,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1947,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1948,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1949,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1950,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1951,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1952,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1953,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1954,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
1955,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,236,4152
