DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1922,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1923,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1924,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1925,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1926,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1927,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1928,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1929,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1930,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1931,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1932,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1933,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1934,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1935,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1936,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1937,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1938,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1939,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1940,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1941,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1942,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1943,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1944,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1945,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1946,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1947,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1948,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1949,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1950,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1951,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1952,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1953,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1954,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1955,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1956,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1957,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1958,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1959,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1960,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1961,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1962,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1963,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1964,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1965,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1966,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1967,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1968,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1969,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1970,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1971,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1972,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1973,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1974,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1975,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1976,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1977,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1978,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1979,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1980,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1981,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1982,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1983,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1984,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1985,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1986,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1987,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1988,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1989,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1990,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1991,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1992,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1993,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1994,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1995,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1996,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1997,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1998,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
1999,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
2000,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
2001,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
2002,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
2003,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
2004,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
2005,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
2006,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
2007,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
2008,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,184,2945
