DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1922,AN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1923,BN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1924,C,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1925,D,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1926,D,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1927,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1928,AN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1929,C,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1930,D,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1931,C,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1932,D,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1933,C,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1934,C,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1935,BN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1936,BN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1937,BN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1938,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1939,D,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1940,AN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1941,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1942,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1943,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1944,D,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1945,BN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1946,BN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1947,D,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1948,BN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1949,D,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1950,BN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1951,AN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1952,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1953,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1954,AN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1955,D,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1956,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1957,AN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1958,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1959,BN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1960,D,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1961,D,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1962,BN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1963,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1964,D,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1965,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1966,BN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1967,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1968,BN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1969,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1970,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1971,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1972,BN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1973,AN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1974,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1975,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1976,C,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1977,C,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1978,AN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1979,BN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1980,AN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1981,D,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1982,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1983,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1984,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1985,D,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1986,W,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1987,D,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1988,C,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1989,D,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1990,C,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1991,C,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1992,C,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
1993,AN,13,0,0,0,0,0,0,0,0,0,0,3,306,0,130,1743
