DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1922,AN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1923,BN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1924,C,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1925,D,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1926,D,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1927,W,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1928,AN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1929,C,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1930,D,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1931,C,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1932,D,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1933,C,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1934,C,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1935,BN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1936,BN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1937,BN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1938,W,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1939,D,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1940,AN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1941,W,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1942,W,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1943,W,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1944,D,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1945,BN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1946,BN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1947,D,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1948,BN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1949,D,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1950,BN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1951,AN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1952,W,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1953,W,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1954,AN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1955,D,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1956,W,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1957,AN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1958,W,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1959,BN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1960,D,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1961,D,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1962,BN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1963,W,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1964,D,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1965,W,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1966,BN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1967,W,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1968,BN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1969,W,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1970,W,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1971,W,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1972,BN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1973,AN,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1974,W,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1975,W,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1976,C,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
1977,C,27,0,0,0,0,176,0,0,0,0,0,120,2233,0,13,0
