DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1922,AN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1923,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1924,C,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1925,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1926,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1927,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1928,AN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1929,C,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1930,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1931,C,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1932,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1933,C,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1934,C,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1935,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1936,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1937,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1938,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1939,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1940,AN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1941,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1942,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1943,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1944,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1945,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1946,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1947,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1948,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1949,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1950,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1951,AN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1952,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1953,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1954,AN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1955,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1956,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1957,AN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1958,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1959,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1960,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1961,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1962,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1963,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1964,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1965,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1966,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1967,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1968,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1969,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1970,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1971,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1972,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1973,AN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1974,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1975,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1976,C,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1977,C,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1978,AN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1979,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1980,AN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1981,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1982,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1983,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1984,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1985,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1986,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1987,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1988,C,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1989,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1990,C,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1991,C,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1992,C,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1993,AN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1994,C,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1995,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1996,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1997,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1998,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
1999,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2000,AN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2001,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2002,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2003,AN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2004,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2005,AN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2006,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2007,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2008,C,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2009,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2010,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2011,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2012,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2013,D,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2014,C,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2015,C,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2016,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2017,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2018,BN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2019,W,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
2020,AN,160,60,0,0,0,0,0,0,0,0,0,95,184,0,136,2113
