DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1922,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1923,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1924,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1925,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1926,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1927,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1928,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1929,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1930,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1931,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1932,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1933,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1934,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1935,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1936,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1937,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1938,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1939,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1940,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1941,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1942,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1943,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1944,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1945,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1946,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1947,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1948,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1949,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1950,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1951,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1952,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1953,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1954,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1955,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1956,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1957,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1958,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1959,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1960,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1961,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1962,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1963,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1964,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1965,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1966,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1967,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1968,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1969,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1970,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1971,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1972,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1973,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1974,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1975,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1976,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1977,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1978,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1979,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1980,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1981,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1982,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1983,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1984,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1985,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1986,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1987,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1988,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1989,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1990,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1991,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1992,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1993,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1994,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1995,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1996,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1997,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1998,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
1999,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
2000,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
2001,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
2002,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
2003,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
2004,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,105,1062
