DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W
1983,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1984,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1985,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1986,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1987,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1988,C,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1989,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1990,C,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1991,C,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1992,C,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1993,AN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1994,C,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1995,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1996,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1997,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1998,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1999,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2000,AN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2001,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2002,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2003,AN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2004,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2005,AN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2006,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2007,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2008,C,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2009,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2010,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2011,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2012,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2013,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2014,C,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2015,C,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2016,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2017,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2018,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2019,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
2020,AN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
