DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1922,AN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1923,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1924,C,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1925,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1926,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1927,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1928,AN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1929,C,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1930,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1931,C,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1932,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1933,C,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1934,C,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1935,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1936,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1937,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1938,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1939,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1940,AN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1941,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1942,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1943,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1944,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1945,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1946,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1947,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1948,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1949,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1950,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1951,AN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1952,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1953,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1954,AN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1955,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1956,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1957,AN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1958,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1959,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1960,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1961,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1962,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1963,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1964,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1965,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1966,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1967,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1968,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1969,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1970,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1971,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1972,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1973,AN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1974,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1975,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1976,C,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1977,C,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1978,AN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1979,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1980,AN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1981,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
1982,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,96,1416
