DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1922,AN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1923,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1924,C,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1925,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1926,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1927,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1928,AN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1929,C,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1930,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1931,C,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1932,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1933,C,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1934,C,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1935,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1936,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1937,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1938,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1939,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1940,AN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1941,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1942,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1943,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1944,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1945,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1946,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1947,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1948,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1949,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1950,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1951,AN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1952,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1953,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1954,AN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1955,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1956,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1957,AN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1958,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1959,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1960,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1961,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1962,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1963,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1964,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1965,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1966,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1967,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1968,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1969,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1970,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1971,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1972,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1973,AN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1974,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1975,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1976,C,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1977,C,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1978,AN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1979,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1980,AN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1981,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1982,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1983,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1984,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1985,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1986,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1987,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1988,C,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1989,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1990,C,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1991,C,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1992,C,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1993,AN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1994,C,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1995,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1996,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1997,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1998,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
1999,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2000,AN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2001,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2002,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2003,AN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2004,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2005,AN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2006,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2007,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2008,C,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2009,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2010,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2011,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2012,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2013,D,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2014,C,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2015,C,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2016,BN,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
2017,W,189,0,0,0,0,0,0,0,0,0,0,1,1737,0,5,1
