DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W
1948,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1949,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1950,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1951,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1952,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1953,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1954,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1955,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1956,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1957,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1958,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1959,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1960,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1961,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1962,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1963,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1964,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1965,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1966,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1967,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1968,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1969,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1970,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1971,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1972,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1973,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1974,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1975,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1976,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1977,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1978,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1979,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1980,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1981,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1982,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1983,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1984,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1985,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1986,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1987,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1988,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1989,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1990,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1991,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1992,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1993,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1994,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1995,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1996,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1997,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1998,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1999,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2000,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2001,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2002,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2003,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2004,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2005,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2006,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2007,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2008,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2009,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2010,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2011,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2012,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2013,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2014,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2015,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2016,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2017,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2018,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2019,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
2020,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
