DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1922,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1923,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1924,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1925,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1926,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1927,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1928,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1929,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1930,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1931,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1932,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1933,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1934,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1935,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1936,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1937,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1938,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1939,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1940,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1941,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1942,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1943,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1944,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1945,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1946,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
1947,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,45,670
