DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1922,AN,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1923,BN,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1924,C,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1925,D,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1926,D,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1927,W,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1928,AN,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1929,C,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1930,D,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1931,C,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1932,D,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1933,C,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1934,C,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1935,BN,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1936,BN,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1937,BN,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1938,W,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1939,D,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1940,AN,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1941,W,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1942,W,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1943,W,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1944,D,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1945,BN,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1946,BN,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
1947,D,46,0,0,0,0,0,0,0,0,0,0,592,2,0,11946,19
