DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1923,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1924,C,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1925,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1926,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1927,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1928,AN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1929,C,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1930,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1931,C,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1932,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1933,C,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1934,C,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1935,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1936,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1937,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1938,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1939,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1940,AN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1941,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1942,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1943,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1944,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1945,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1946,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1947,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1948,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1949,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1950,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1951,AN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1952,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1953,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1954,AN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1955,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1956,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1957,AN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1958,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1959,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1960,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1961,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1962,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1963,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1964,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1965,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1966,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1967,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1968,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1969,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1970,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1971,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1972,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1973,AN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1974,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1975,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1976,C,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1977,C,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1978,AN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1979,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1980,AN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1981,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1982,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1983,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1984,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1985,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1986,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1987,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1988,C,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1989,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1990,C,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1991,C,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1992,C,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1993,AN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1994,C,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1995,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1996,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1997,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1998,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
1999,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2000,AN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2001,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2002,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2003,AN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2004,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2005,AN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2006,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2007,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2008,C,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2009,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2010,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2011,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2012,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2013,D,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2014,C,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2015,C,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2016,BN,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
2017,W,58,0,5,0,0,0,0,0,16,5,0,4,22,0,42
