DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1923,BN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1924,C,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1925,D,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1926,D,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1927,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1928,AN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1929,C,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1930,D,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1931,C,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1932,D,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1933,C,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1934,C,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1935,BN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1936,BN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1937,BN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1938,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1939,D,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1940,AN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1941,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1942,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1943,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1944,D,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1945,BN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1946,BN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1947,D,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1948,BN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1949,D,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1950,BN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1951,AN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1952,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1953,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1954,AN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1955,D,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1956,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1957,AN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1958,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1959,BN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1960,D,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1961,D,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1962,BN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1963,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1964,D,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1965,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1966,BN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1967,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1968,BN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1969,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1970,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1971,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1972,BN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1973,AN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1974,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1975,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1976,C,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1977,C,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1978,AN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1979,BN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1980,AN,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1981,D,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1982,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1983,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1984,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1985,D,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1986,W,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1987,D,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1988,C,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1989,D,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1990,C,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1991,C,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
1992,C,46,0,261,937,0,0,0,138,229,521,736,67,703,0,87
