DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1923,BN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1924,C,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1925,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1926,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1927,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1928,AN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1929,C,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1930,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1931,C,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1932,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1933,C,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1934,C,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1935,BN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1936,BN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1937,BN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1938,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1939,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1940,AN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1941,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1942,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1943,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1944,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1945,BN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1946,BN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1947,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1948,BN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1949,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1950,BN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1951,AN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1952,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1953,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1954,AN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1955,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1956,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1957,AN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1958,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1959,BN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1960,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1961,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1962,BN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1963,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1964,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1965,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1966,BN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1967,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1968,BN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1969,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1970,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1971,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1972,BN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1973,AN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1974,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1975,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1976,C,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1977,C,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1978,AN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1979,BN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1980,AN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1981,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1982,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1983,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1984,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1985,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1986,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1987,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1988,C,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1989,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1990,C,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1991,C,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1992,C,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1993,AN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1994,C,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1995,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1996,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1997,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1998,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
1999,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
2000,AN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
2001,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
2002,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
2003,AN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
2004,BN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
2005,AN,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
2006,W,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
2007,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
2008,C,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
2009,D,46,0,0,19,0,0,0,0,35,37,14,2,46,0,2
