DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1923,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1924,C,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1925,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1926,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1927,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1928,AN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1929,C,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1930,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1931,C,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1932,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1933,C,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1934,C,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1935,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1936,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1937,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1938,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1939,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1940,AN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1941,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1942,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1943,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1944,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1945,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1946,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1947,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1948,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1949,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1950,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1951,AN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1952,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1953,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1954,AN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1955,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1956,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1957,AN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1958,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1959,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1960,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1961,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1962,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1963,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1964,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1965,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1966,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1967,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1968,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1969,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1970,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1971,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1972,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1973,AN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1974,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1975,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1976,C,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1977,C,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1978,AN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1979,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1980,AN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1981,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1982,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1983,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1984,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1985,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1986,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1987,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1988,C,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1989,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1990,C,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1991,C,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1992,C,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1993,AN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1994,C,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1995,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1996,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1997,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1998,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
1999,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2000,AN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2001,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2002,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2003,AN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2004,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2005,AN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2006,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2007,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2008,C,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2009,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2010,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2011,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2012,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2013,D,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2014,C,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2015,C,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2016,BN,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
2017,W,0,24,1183,282,0,12,0,342,679,291,270,42,1505,0,215
