DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1923,BN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1924,C,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1925,D,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1926,D,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1927,W,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1928,AN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1929,C,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1930,D,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1931,C,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1932,D,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1933,C,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1934,C,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1935,BN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1936,BN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1937,BN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1938,W,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1939,D,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1940,AN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1941,W,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1942,W,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1943,W,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1944,D,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1945,BN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1946,BN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1947,D,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1948,BN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1949,D,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1950,BN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1951,AN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1952,W,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1953,W,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1954,AN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1955,D,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1956,W,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1957,AN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1958,W,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1959,BN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1960,D,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1961,D,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1962,BN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1963,W,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1964,D,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1965,W,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1966,BN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1967,W,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1968,BN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1969,W,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1970,W,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1971,W,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1972,BN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1973,AN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1974,W,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1975,W,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1976,C,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1977,C,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
1978,AN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1979,BN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1980,AN,26,79,28,79,0,0,0,0,0,0,0,9,317,0,76
1981,D,0,65,95,186,0,94,0,0,0,0,0,9,105,0,59
