DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1923,BN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1924,C,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1925,D,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1926,D,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1927,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1928,AN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1929,C,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1930,D,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1931,C,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1932,D,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1933,C,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1934,C,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1935,BN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1936,BN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1937,BN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1938,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1939,D,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1940,AN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1941,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1942,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1943,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1944,D,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1945,BN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1946,BN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1947,D,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1948,BN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1949,D,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1950,BN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1951,AN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1952,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1953,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1954,AN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1955,D,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1956,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1957,AN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1958,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1959,BN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1960,D,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1961,D,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1962,BN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1963,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1964,D,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1965,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1966,BN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1967,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1968,BN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1969,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1970,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1971,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1972,BN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1973,AN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1974,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1975,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1976,C,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1977,C,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1978,AN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1979,BN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1980,AN,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1981,D,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1982,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1983,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1984,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1985,D,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1986,W,8,93,0,49,0,237,0,399,0,5,3,54,239,0,43
1987,D,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1988,C,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1989,D,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
1990,C,13,0,0,358,0,158,0,367,0,0,43,9,136,3,43
