DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
2007,D,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
2008,C,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
2009,D,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
2010,BN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
2011,w,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
2012,BN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
2013,D,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
2014,C,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
2015,C,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
2016,BN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
