DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
1923,BN,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
1924,C,19,0,0,1037,31,445,0,190,0,0,192,157,362,0,529
1925,D,19,0,0,1037,31,445,0,190,0,0,192,157,362,0,529
1926,D,19,0,0,1037,31,445,0,190,0,0,192,157,362,0,529
1927,W,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
1928,AN,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
1929,C,19,0,0,1037,31,445,0,190,0,0,192,157,362,0,529
1930,D,19,0,0,1037,31,445,0,190,0,0,192,157,362,0,529
1931,C,19,0,0,1037,31,445,0,190,0,0,192,157,362,0,529
1932,D,19,0,0,1037,31,445,0,190,0,0,192,157,362,0,529
1933,C,19,0,0,1037,31,445,0,190,0,0,192,157,362,0,529
1934,C,19,0,0,1037,31,445,0,190,0,0,192,157,362,0,529
1935,BN,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
1936,BN,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
1937,BN,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
1938,W,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
1939,D,19,0,0,1037,31,445,0,190,0,0,192,157,362,0,529
1940,AN,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
1941,W,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
1942,W,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
1943,W,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
1944,D,19,0,0,1037,31,445,0,190,0,0,192,157,362,0,529
1945,BN,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
1946,BN,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
1947,D,19,0,0,1037,31,445,0,190,0,0,192,157,362,0,529
1948,BN,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
1949,D,19,0,0,1037,31,445,0,190,0,0,192,157,362,0,529
1950,BN,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
1951,AN,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
1952,W,8,28,0,911,0,438,0,2,0,0,149,227,506,0,690
