DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,6,0,0,64,0,133,0,45,21,0,0,7,9,0,35
1923,BN,6,0,0,64,0,133,0,45,21,0,0,7,9,0,35
1924,C,2,0,0,9,0,120,0,0,100,0,0,8,57,0,25
1925,D,2,0,0,9,0,120,0,0,100,0,0,8,57,0,25
1926,D,2,0,0,9,0,120,0,0,100,0,0,8,57,0,25
1927,W,6,0,0,64,0,133,0,45,21,0,0,7,9,0,35
1928,AN,6,0,0,64,0,133,0,45,21,0,0,7,9,0,35
1929,C,2,0,0,9,0,120,0,0,100,0,0,8,57,0,25
1930,D,2,0,0,9,0,120,0,0,100,0,0,8,57,0,25
1931,C,2,0,0,9,0,120,0,0,100,0,0,8,57,0,25
1932,D,2,0,0,9,0,120,0,0,100,0,0,8,57,0,25
1933,C,2,0,0,9,0,120,0,0,100,0,0,8,57,0,25
1934,C,2,0,0,9,0,120,0,0,100,0,0,8,57,0,25
1935,BN,6,0,0,64,0,133,0,45,21,0,0,7,9,0,35
1936,BN,6,0,0,64,0,133,0,45,21,0,0,7,9,0,35
1937,BN,6,0,0,64,0,133,0,45,21,0,0,7,9,0,35
1938,W,6,0,0,64,0,133,0,45,21,0,0,7,9,0,35
1939,D,2,0,0,9,0,120,0,0,100,0,0,8,57,0,25
1940,AN,6,0,0,64,0,133,0,45,21,0,0,7,9,0,35
1941,W,6,0,0,64,0,133,0,45,21,0,0,7,9,0,35
1942,W,6,0,0,64,0,133,0,45,21,0,0,7,9,0,35
1943,W,6,0,0,64,0,133,0,45,21,0,0,7,9,0,35
1944,D,2,0,0,9,0,120,0,0,100,0,0,8,57,0,25
1945,BN,6,0,0,64,0,133,0,45,21,0,0,7,9,0,35
1946,BN,6,0,0,64,0,133,0,45,21,0,0,7,9,0,35
1947,D,2,0,0,9,0,120,0,0,100,0,0,8,57,0,25
1948,BN,6,0,0,64,0,133,0,45,21,0,0,7,9,0,35
1949,D,2,0,0,9,0,120,0,0,100,0,0,8,57,0,25
1950,BN,6,0,0,64,0,133,0,45,21,0,0,7,9,0,35
1951,AN,6,0,0,64,0,133,0,45,21,0,0,7,9,0,35
