DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1923,BN,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1924,C,11,15,0,0,115,134,0,0,0,0,0,15,228,0,1043
1925,D,11,15,0,0,115,134,0,0,0,0,0,15,228,0,1043
1926,D,11,15,0,0,115,134,0,0,0,0,0,15,228,0,1043
1927,W,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1928,AN,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1929,C,11,15,0,0,115,134,0,0,0,0,0,15,228,0,1043
1930,D,11,15,0,0,115,134,0,0,0,0,0,15,228,0,1043
1931,C,11,15,0,0,115,134,0,0,0,0,0,15,228,0,1043
1932,D,11,15,0,0,115,134,0,0,0,0,0,15,228,0,1043
1933,C,11,15,0,0,115,134,0,0,0,0,0,15,228,0,1043
1934,C,11,15,0,0,115,134,0,0,0,0,0,15,228,0,1043
1935,BN,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1936,BN,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1937,BN,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1938,W,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1939,D,11,15,0,0,115,134,0,0,0,0,0,15,228,0,1043
1940,AN,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1941,W,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1942,W,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1943,W,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1944,D,11,15,0,0,115,134,0,0,0,0,0,15,228,0,1043
1945,BN,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1946,BN,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1947,D,11,15,0,0,115,134,0,0,0,0,0,15,228,0,1043
1948,BN,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1949,D,11,15,0,0,115,134,0,0,0,0,0,15,228,0,1043
1950,BN,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1951,AN,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1952,W,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1953,W,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1954,AN,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1955,D,11,15,0,0,115,134,0,0,0,0,0,15,228,0,1043
1956,W,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1957,AN,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1958,W,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1959,BN,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1960,D,11,15,0,0,115,134,0,0,0,0,0,15,228,0,1043
1961,D,11,15,0,0,115,134,0,0,0,0,0,15,228,0,1043
1962,BN,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1963,W,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
1964,D,11,15,0,0,115,134,0,0,0,0,0,15,228,0,1043
1965,W,13,27,69,69,81,0,0,0,0,0,0,32,231,0,1039
