DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1923,BN,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1924,C,0,133,0,0,0,0,0,0,0,0,0,31,51,0,12
1925,D,0,133,0,0,0,0,0,0,0,0,0,31,51,0,12
1926,D,0,133,0,0,0,0,0,0,0,0,0,31,51,0,12
1927,W,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1928,AN,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1929,C,0,133,0,0,0,0,0,0,0,0,0,31,51,0,12
1930,D,0,133,0,0,0,0,0,0,0,0,0,31,51,0,12
1931,C,0,133,0,0,0,0,0,0,0,0,0,31,51,0,12
1932,D,0,133,0,0,0,0,0,0,0,0,0,31,51,0,12
1933,C,0,133,0,0,0,0,0,0,0,0,0,31,51,0,12
1934,C,0,133,0,0,0,0,0,0,0,0,0,31,51,0,12
1935,BN,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1936,BN,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1937,BN,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1938,W,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1939,D,0,133,0,0,0,0,0,0,0,0,0,31,51,0,12
1940,AN,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1941,W,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1942,W,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1943,W,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1944,D,0,133,0,0,0,0,0,0,0,0,0,31,51,0,12
1945,BN,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1946,BN,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1947,D,0,133,0,0,0,0,0,0,0,0,0,31,51,0,12
1948,BN,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1949,D,0,133,0,0,0,0,0,0,0,0,0,31,51,0,12
1950,BN,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1951,AN,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1952,W,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1953,W,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1954,AN,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1955,D,0,133,0,0,0,0,0,0,0,0,0,31,51,0,12
1956,W,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1957,AN,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
1958,W,3,102,0,0,0,0,0,0,0,0,0,51,56,0,15
