DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1923,BN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1924,C,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1925,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1926,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1927,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1928,AN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1929,C,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1930,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1931,C,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1932,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1933,C,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1934,C,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1935,BN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1936,BN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1937,BN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1938,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1939,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1940,AN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1941,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1942,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1943,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1944,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1945,BN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1946,BN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1947,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1948,BN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1949,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1950,BN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1951,AN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1952,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1953,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1954,AN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1955,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1956,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1957,AN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1958,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1959,BN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1960,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1961,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1962,BN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1963,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1964,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1965,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1966,BN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1967,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1968,BN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1969,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1970,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1971,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1972,BN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1973,AN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1974,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1975,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1976,C,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1977,C,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1978,AN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1979,BN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1980,AN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1981,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1982,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1983,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1984,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1985,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1986,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1987,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1988,C,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1989,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1990,C,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1991,C,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1992,C,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1993,AN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1994,C,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
1995,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1996,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1997,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1998,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
1999,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
2000,AN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
2001,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
2002,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
2003,AN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
2004,BN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
2005,AN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
2006,W,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
2007,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
2008,C,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
2009,D,28,0,162,699,64,916,0,12,371,18,35,0,78,0,25
2010,BN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
2011,w,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
2012,BN,62,0,220,847,66,410,0,14,241,14,461,0,72,0,1
