DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1923,BN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1924,C,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1925,D,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1926,D,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1927,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1928,AN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1929,C,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1930,D,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1931,C,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1932,D,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1933,C,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1934,C,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1935,BN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1936,BN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1937,BN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1938,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1939,D,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1940,AN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1941,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1942,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1943,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1944,D,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1945,BN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1946,BN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1947,D,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1948,BN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1949,D,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1950,BN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1951,AN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1952,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1953,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1954,AN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1955,D,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1956,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1957,AN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1958,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1959,BN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1960,D,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1961,D,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1962,BN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1963,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1964,D,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1965,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1966,BN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1967,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1968,BN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1969,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1970,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1971,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1972,BN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1973,AN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1974,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1975,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1976,C,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1977,C,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1978,AN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1979,BN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1980,AN,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1981,D,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1982,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1983,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1984,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1985,D,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1986,W,259,0,113,0,0,40,0,0,0,0,0,1,180,0,0
1987,D,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1988,C,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1989,D,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1990,C,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1991,C,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
1992,C,424,0,0,54,0,80,0,0,0,0,0,0,14,0,20
