DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1923,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1924,C,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1925,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1926,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1927,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1928,AN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1929,C,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1930,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1931,C,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1932,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1933,C,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1934,C,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1935,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1936,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1937,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1938,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1939,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1940,AN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1941,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1942,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1943,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1944,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1945,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1946,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1947,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1948,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1949,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1950,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1951,AN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1952,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1953,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1954,AN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1955,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1956,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1957,AN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1958,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1959,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1960,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1961,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1962,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1963,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1964,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1965,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1966,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1967,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1968,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1969,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1970,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1971,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1972,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1973,AN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1974,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1975,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1976,C,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1977,C,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1978,AN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1979,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1980,AN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1981,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1982,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1983,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1984,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1985,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1986,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1987,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1988,C,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1989,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1990,C,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1991,C,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1992,C,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1993,AN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1994,C,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
1995,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1996,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1997,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1998,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
1999,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
2000,AN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
2001,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
2002,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
2003,AN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
2004,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
2005,AN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
2006,W,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
2007,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
2008,C,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
2009,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
2010,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
2011,w,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
2012,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
2013,D,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
2014,C,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
2015,C,12,7,0,152,44,220,0,44,0,0,0,0,34,0,40
2016,BN,379,14,0,0,0,67,0,0,0,0,0,5,9,0,79
