DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1923,BN,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1924,C,63,21,639,380,217,257,0,63,281,22,0,2,102,0,14
1925,D,63,21,639,380,217,257,0,63,281,22,0,2,102,0,14
1926,D,63,21,639,380,217,257,0,63,281,22,0,2,102,0,14
1927,W,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1928,AN,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1929,C,63,21,639,380,217,257,0,63,281,22,0,2,102,0,14
1930,D,63,21,639,380,217,257,0,63,281,22,0,2,102,0,14
1931,C,63,21,639,380,217,257,0,63,281,22,0,2,102,0,14
1932,D,63,21,639,380,217,257,0,63,281,22,0,2,102,0,14
1933,C,63,21,639,380,217,257,0,63,281,22,0,2,102,0,14
1934,C,63,21,639,380,217,257,0,63,281,22,0,2,102,0,14
1935,BN,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1936,BN,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1937,BN,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1938,W,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1939,D,63,21,639,380,217,257,0,63,281,22,0,2,102,0,14
1940,AN,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1941,W,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1942,W,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1943,W,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1944,D,63,21,639,380,217,257,0,63,281,22,0,2,102,0,14
1945,BN,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1946,BN,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1947,D,63,21,639,380,217,257,0,63,281,22,0,2,102,0,14
1948,BN,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1949,D,63,21,639,380,217,257,0,63,281,22,0,2,102,0,14
1950,BN,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1951,AN,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1952,W,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1953,W,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1954,AN,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1955,D,63,21,639,380,217,257,0,63,281,22,0,2,102,0,14
1956,W,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1957,AN,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1958,W,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1959,BN,72,9,812,281,53,300,0,135,238,25,0,1,61,0,73
1960,D,63,21,639,380,217,257,0,63,281,22,0,2,102,0,14
