DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,5,0,0,178,28,73,0,0,206,0,0,0,40,0,15
1923,BN,5,0,0,178,28,73,0,0,206,0,0,0,40,0,15
1924,C,3,0,0,60,41,207,0,0,161,0,0,0,66,0,7
1925,D,3,0,0,60,41,207,0,0,161,0,0,0,66,0,7
1926,D,3,0,0,60,41,207,0,0,161,0,0,0,66,0,7
1927,W,5,0,0,178,28,73,0,0,206,0,0,0,40,0,15
1928,AN,5,0,0,178,28,73,0,0,206,0,0,0,40,0,15
1929,C,3,0,0,60,41,207,0,0,161,0,0,0,66,0,7
1930,D,3,0,0,60,41,207,0,0,161,0,0,0,66,0,7
1931,C,3,0,0,60,41,207,0,0,161,0,0,0,66,0,7
1932,D,3,0,0,60,41,207,0,0,161,0,0,0,66,0,7
1933,C,3,0,0,60,41,207,0,0,161,0,0,0,66,0,7
1934,C,3,0,0,60,41,207,0,0,161,0,0,0,66,0,7
1935,BN,5,0,0,178,28,73,0,0,206,0,0,0,40,0,15
1936,BN,5,0,0,178,28,73,0,0,206,0,0,0,40,0,15
1937,BN,5,0,0,178,28,73,0,0,206,0,0,0,40,0,15
1938,W,5,0,0,178,28,73,0,0,206,0,0,0,40,0,15
1939,D,3,0,0,60,41,207,0,0,161,0,0,0,66,0,7
1940,AN,5,0,0,178,28,73,0,0,206,0,0,0,40,0,15
1941,W,5,0,0,178,28,73,0,0,206,0,0,0,40,0,15
1942,W,5,0,0,178,28,73,0,0,206,0,0,0,40,0,15
1943,W,5,0,0,178,28,73,0,0,206,0,0,0,40,0,15
1944,D,3,0,0,60,41,207,0,0,161,0,0,0,66,0,7
1945,BN,5,0,0,178,28,73,0,0,206,0,0,0,40,0,15
1946,BN,5,0,0,178,28,73,0,0,206,0,0,0,40,0,15
1947,D,3,0,0,60,41,207,0,0,161,0,0,0,66,0,7
