DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1923,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1924,C,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1925,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1926,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1927,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1928,AN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1929,C,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1930,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1931,C,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1932,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1933,C,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1934,C,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1935,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1936,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1937,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1938,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1939,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1940,AN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1941,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1942,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1943,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1944,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1945,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1946,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1947,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1948,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1949,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1950,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1951,AN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1952,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1953,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1954,AN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1955,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1956,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1957,AN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1958,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1959,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1960,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1961,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1962,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1963,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1964,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1965,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1966,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1967,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1968,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1969,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1970,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1971,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1972,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1973,AN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1974,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1975,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1976,C,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1977,C,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1978,AN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1979,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1980,AN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1981,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1982,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1983,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1984,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1985,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1986,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1987,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1988,C,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1989,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1990,C,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1991,C,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1992,C,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1993,AN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1994,C,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
1995,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1996,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1997,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1998,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
1999,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
2000,AN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
2001,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
2002,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
2003,AN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
2004,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
2005,AN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
2006,W,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
2007,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
2008,C,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
2009,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
2010,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
2011,w,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
2012,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
2013,D,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
2014,C,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
2015,C,15,30,67,15,0,25,0,0,0,0,0,0,412,0,149
2016,BN,23,0,0,62,0,23,0,0,86,0,0,0,322,0,197
